,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,80.52816655414335,100.39200230518341,128.1941640372904,126.24532950569605,87.92994739361922,90.8011397678479,107.80881143713523,104.16897138026933,113.81753885064666,108.34317224243522,84.102301784498,178.7787563555515,131.67480280235355,192.98889955623713,196.2585030371758,475.95937447584913,126.27582879221428,129.3578235273982,135.9740205428664,10.042706211106392
Subject01,29.409731325761708,34.443742854256286,39.74834395209122,42.84617745134622,21.242130815643584,23.2504566083016,21.677257260015228,26.772390407178058,37.95770565089971,40.17553561349017,14.910938247103214,27.59361543770007,45.777589462453506,80.07771758056364,108.96363040419787,119.39016534492256,47.720099155444224,46.92230539140595,76.85481170772314,2.041985013995731
Subject02,36.034424766564,154.450168234467,65.05712844164775,50.060796068015414,33.86521047594181,44.0622475104767,58.266137184735285,60.14287795402764,68.74205830205929,66.74897341782844,50.49461615655946,63.10541977868796,94.34656577537395,96.34196534423756,177.27092915637357,191.25661211260612,60.332041642983874,70.66352662120747,93.5873403373533,6.995410826652975
Subject03,51.770306335670604,56.156767201074736,96.92277044561915,101.9309753434557,45.45759071162686,61.369253613648794,63.20840151082462,66.21915190059141,113.624149031929,114.65683905484701,70.09079186396966,119.41145012994997,183.08016598705618,185.12878881525037,265.6272471535501,212.92602336509117,102.01374587171856,161.88758534456605,250.05077624689216,15.373055542180241
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject06,13.725573537789762,16.51082286077031,25.311268846888456,27.17286608626033,14.972984025088387,20.219089151389426,16.79650357925715,46.60243472079064,25.386346873825065,36.77158730961038,17.514693795797292,66.10586783602773,44.4685412534344,72.48846173123461,61.12738773433821,88.24679725086747,24.600413933706164,29.843005165800786,52.335916847581416,7.926819215804356
Subject07,33.91596662217125,36.85434036332586,57.06599066355855,59.00996678377084,26.91501375573766,29.11759824340418,59.59968214592402,78.82883870632816,117.78889167232111,136.33059649986268,37.65198792577668,58.043929060740965,191.6799752982972,234.3828906428297,130.90883910754928,163.80848723253183,60.28759926276391,126.9664849608071,249.52533614176852,5.382327847169183
Subject08,33.18289022896518,34.32410432116511,45.76583347171443,45.805648873744545,26.98782466581246,31.18168328931093,32.423375787489654,40.22496991328737,48.869200864743966,48.87670098157954,46.91898791969041,56.08576661934434,60.224341407022344,79.11478342991575,75.37857541344354,175.90319460526962,47.38897469191956,56.897118009113946,79.5411942060789,30.781280978853033
Subject09,34.55276221575537,43.48222745437807,72.51881805856814,79.70464079391314,40.30803514671595,42.19677930473635,23.393972169698372,48.42314949149306,63.740595559817834,94.80807256030857,27.30891984116912,71.36044650071693,76.36589203462108,117.64184606496809,138.81648013366186,179.07020533032278,95.37831702952326,107.30924294929513,135.1415683355397,3.443041499023459
