,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,277.07685411340935,347.0766377468911,470.54424171067996,450.7262680795155,310.578399646553,302.24247455839856,262.21733963355285,300.35673730130543,405.07454512792395,395.15988926336183,221.82167740858793,524.5917645881046,359.25422657979874,544.7551624630227,450.8273569325745,1572.847394319984,451.25981388677945,474.0664836809022,395.5722753660713,24.954724414437052
Subject01,62.546234502367724,58.851819500096596,73.35439191708487,66.48625077988183,45.884069857306976,55.688525013560685,41.142492558707055,42.448540574822665,70.368409771295,64.61288214467783,29.563301889296223,66.49047870530477,83.49306225199246,177.13705839418577,389.35122225090385,338.23443733309614,69.51419848103265,84.83955258980394,160.15048593087727,4.707918579352918
Subject02,68.4693490805331,308.0266604449382,123.23379490595273,109.8328802159181,70.85020723599679,95.77607320416458,148.8428025317905,98.21580212809485,157.48350691565642,116.02799291378882,123.60656276476001,105.09030941527064,223.10448923146905,185.9459490530314,403.0419533262282,344.1797129046945,114.99764654400647,138.82078631227304,170.19044941952197,12.995388550350206
Subject03,179.71817264475163,203.35256373782144,314.87255033622165,346.5352799429395,186.4109861598801,220.96172993062402,275.5375184672574,185.6881369103024,408.70676388165884,384.6404800876083,254.12934971620606,332.8097991363493,581.320143859833,502.9788761193116,908.3159961492037,570.3659565198889,363.7216232470297,461.51133884883,710.0616906272015,46.08572473284063
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject06,26.2260708363731,29.76019916136242,37.653050672427504,47.1254592968874,30.172871862380774,33.767525515477345,33.61655203807543,121.00378804673585,49.54633963660725,80.57161904010582,49.24328019382254,217.48279977243692,161.82963861144398,195.39236016030898,239.2587203410973,245.0034908419018,44.734192686881954,52.09614148968682,184.83329917233323,26.200444201593175
Subject07,170.03343276370887,175.43904543380918,336.8585200583025,316.50683692374923,128.15585827053428,146.75747137674048,325.5376058337893,312.55001405242695,732.3197904850584,706.6773672652378,168.13249264106676,222.75035470284143,1110.5319881010184,1294.3576180190848,689.7641043998563,959.6030736429874,330.3471465586721,773.591727183325,1573.0131195453182,13.609605746652758
Subject08,58.742961975559105,65.91142957581448,78.73157651602409,92.90675989662874,44.08384078101178,58.422115608775435,51.67530869641807,77.62812175591797,75.00369852575622,81.52070590685332,81.64707756406436,191.07202245539654,139.97445992702478,294.8714449068969,219.83530251094743,706.7546803569301,87.2271191885074,95.50221933155683,188.9729918165925,56.99309740913979
Subject09,81.21922860232436,114.41978459027233,154.20423119508183,176.2609703290807,81.01676943281225,90.92146796383136,53.010149765510114,138.33264569919885,130.87289999362946,238.3912031623158,60.017190522955595,149.39478196774115,192.74740546795226,250.31920761227207,322.50795428542426,440.3907519103904,196.55532447240282,213.57379679638498,295.3778586004372,5.600509912141523
