,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,8.117966993046144,11.07114660597488,13.537179252204403,14.987171513357872,11.40331360274261,13.346323504816535,17.50071440857256,15.305844816019924,14.177234085235211,16.289075799226424,12.479186044850675,23.719451365578426,17.737736957059923,25.166349999173534,22.67325224988926,32.21389256038831,14.74461392794784,15.147977906815234,19.11476223910391,1.5721648779782786
Subject01,7.177259727078679,8.308000002210338,11.35704302616999,11.276801083504179,5.382281453587702,6.1239229684758065,10.287895402511445,8.642717090158957,13.373737994123706,12.66303861602949,6.165879049185576,5.211179087384072,12.479954518330818,14.565660039841307,17.420953294774275,18.043410647358286,12.811701100086907,13.544707816178558,14.733909818628415,0.6860562642764063
Subject02,27.47897089450753,25.2125516433213,14.625326413146944,12.872738121816905,21.71325036541179,19.119299430591806,11.058702661191036,8.793687782389348,10.937401306756223,11.396886585699388,9.636404667220031,7.724784448097784,13.001848634100385,13.302406240219495,29.163659775974054,23.523933758564553,11.859738275190795,11.325035945479788,13.012936018993548,2.0412907715276907
Subject03,5.768348274600664,4.4810566516364885,7.1366203209074,7.75469963951218,5.219265264610343,7.312548163387799,5.049934054401677,5.809329692519597,7.5158975923171685,6.774369396338332,3.967856850513259,6.258495154319334,11.395446550675517,9.066951844842574,9.54366655712608,12.255625396038091,7.0854910610875965,10.845731428650328,9.450609406368494,1.7821036566278499
Subject04,9.734133284441256,11.736833093157811,18.181158307648865,20.577465811913974,8.540472006121641,11.260743370239304,10.64914050485853,10.555776657584103,17.847680794437363,19.478968537023736,9.339968085550673,11.699443071094198,17.705721395210887,17.370139536909008,21.800542344551666,19.521866147944504,18.327028888684243,17.47083842151106,17.96139392211221,1.5675115795115067
Subject05,6.95822544575336,4.235524425350632,4.843840686010323,4.75362434628034,2.375928077667656,2.823535329807263,3.8427879177026556,4.365567831393685,5.492706492451749,5.359345628918328,4.568694049091358,6.056732295470802,8.81447443825506,10.79886222076771,9.35650054332646,8.808181363669247,4.998580025900296,4.475699682071148,10.257879100935074,1.3343797505704302
Subject06,2.499772044932712,3.139833288482184,4.969556666519706,4.806851023483008,3.443792483934306,3.5592204785297756,3.190582834783083,4.241842384066333,3.903787785901899,3.989895262598334,3.427599517017919,4.2556651515532256,5.426130599069404,4.959927833815018,7.401301804098424,5.541731211729138,4.2328541786532305,3.9074074559097647,5.265203069474414,1.2889543657958784
Subject07,5.7855514636329906,6.435941124077254,6.889951936907375,7.182999152037374,4.124515888073847,4.747501867608862,4.906872819432211,6.825562246212667,9.302020410956983,9.25959736408956,4.188052400677974,4.236251108921301,7.668113114785858,9.630872881005752,8.71352794018396,9.936784443640779,5.948116700860016,7.730709248431951,7.612274367968739,1.5633333366369824
Subject08,4.117118416086373,4.351816402442696,4.107832827967382,4.513915004005689,2.470056177436463,3.3786832146663683,3.9788500455506113,3.604433779697316,4.863540824631515,4.7314432759457095,5.112666682887689,5.197588965022389,9.913966398017639,9.077775412278266,11.68519855225503,14.41092032352708,3.9568070816445773,5.076691237699781,9.721182452607367,2.166212698424328
Subject09,2.42589765924981,2.549201912724048,3.716802352846329,3.730819237697357,3.5818144343065077,3.069350339971357,2.2560701516511683,2.5160114529523985,3.6537733151966356,3.8803030104317195,2.2978923649380167,5.647114431730165,5.457521373040248,5.140465541428363,5.805072790949324,6.588781124430113,4.427670614860182,4.287103250862342,5.710427497183926,0.5312181206771983
Subject10,2.0429157037948222,3.8474904494395945,4.6777020751005844,4.87870939097395,2.0507684660876673,2.340044101197327,1.932217834813775,2.3856101833581524,4.830309582516024,4.2003683541820065,1.8561383715943558,2.254692463264496,4.216386198714073,3.595273269585494,3.8710120669091967,3.645031571555867,5.171987564340581,4.986994958724454,4.266824339687401,1.1093006921823096
Subject11,2.455342680268335,2.5037364637074226,3.074348953713946,2.670344807537131,2.2495432325253653,1.9517706121859977,2.3751367316376393,2.0382156999387795,2.119776556791254,2.161921401845397,1.4887677278573304,1.8593866530224394,2.1025463881790603,2.3176879576193383,4.310546805784595,4.151557263689922,3.2293827838533793,2.4440436363292077,2.5301758446520415,0.9823745802000554
