,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,79.80998722326356,136.0215667859144,146.9020840683438,124.23252591023186,298.99432216807145,182.4252587874421,186.97103493287963,109.52042192210665,171.06908521164905,129.596230854466,103.94002968753799,130.36775020104733,112.47259232596434,117.66333889058683,125.85766330388196,136.03204508251753,127.8795499813455,210.1438613165706,126.72119261704864,11.74928761111212
Subject01,69.08741766162962,76.54170858719476,129.6019823747087,174.56266717117433,63.12520836068534,112.96168937897558,97.27390976766047,166.6764656720128,185.38682700555455,151.0857644520921,91.66864381995718,100.61755311217726,138.13321997629208,149.47238102187035,128.3759974979798,148.92891461254652,143.5975479446216,195.612024809281,236.99313998704469,9.660633427340821
Subject02,56.49988842899008,377.0961364105334,142.9934131747037,172.04053790688397,101.7553656870438,296.53980916908927,114.66206323175227,160.4393389738957,148.60817931777558,151.12021502911085,110.12051594575608,179.53589317531487,156.27441088891064,177.79010102150235,201.32517617669023,183.54991794578865,149.67593044543486,164.03916372054954,161.20387335641047,22.20183924951887
Subject03,241.48161692822077,92.52125570340067,123.1467287468039,182.19812009738376,119.92876335984998,150.82908952573857,172.20530679007786,79.25783892096247,104.34728808759559,93.17605184242612,52.63605981235536,107.27635498657332,100.73036310896009,98.90230923016857,148.53154101241594,118.14595788726825,113.05307259917483,142.0295929507594,171.0750721698637,32.703853108766
Subject04,205.53225892580616,514.9537275403851,314.97230511091493,323.47605323820426,192.55206702978785,652.4646057004892,326.5920721510079,290.4753418512694,286.4752254935701,285.8893918574102,230.7347276390279,536.6737752095661,283.0964054466417,244.07270138345922,214.95562788722793,218.78290327848995,266.77459075902084,285.75876999143566,214.86833172997592,53.742565809256284
Subject05,480.0411723136632,40.08112108376015,128.2617221766797,105.71208273694711,186.19461326259173,220.68162605810494,141.8858697327068,92.49908937416765,91.2696735645666,98.58017187801313,50.459628415259125,71.84050110227734,106.56968352118076,116.30393902631025,85.26558206847243,96.23289554266563,153.46779577640504,79.51352127232913,215.5690112249864,34.50796643924018
Subject06,72.65745724084141,85.87579377393673,217.8997059236542,87.53092545968175,150.0351063167021,79.73459167829583,78.2680845735352,74.36474419319853,75.2311067658246,66.61318639865652,57.71828059742252,57.09782732768136,65.82629982850094,81.09180379573972,71.02981713366825,70.13595726181099,89.51438207789731,69.79761070053024,67.36852669441134,21.401028445925764
Subject07,83.47887550050814,171.578807255008,77.17994814826481,57.52727301094139,109.5236453304063,101.09600210867772,94.49054711493368,254.0244080662468,131.6576131043939,120.68165082750807,57.58239228063023,93.45643865746395,161.55344222837712,167.80747045879627,145.4716288815845,139.98066521436422,71.19782874614751,134.1355910285217,176.8973732242325,40.031083654802494
Subject08,106.96211648875803,138.05450413432715,50.069131112753254,95.65976073750954,51.70903891092275,104.94510095104856,77.23179079744155,58.69613068767894,65.11949268384399,57.50672246018373,157.70226679286162,51.989642161872624,77.85395426847413,78.16024762746937,82.6975816539602,151.55687632474678,48.53699284630119,66.12650420209737,81.6537330928925,51.64591418329774
Subject09,91.19082994202707,94.04395820876745,177.42511295094934,189.5650084399255,120.04776672214965,77.23549013557229,100.87875978329353,102.98738401948985,178.35946938429407,171.46194573661938,84.83811957920005,68.97884852249138,140.93257396721128,141.85100461784717,134.77354178694952,115.26925346684298,230.4048318840097,209.08439617932572,208.62009367380026,6.633691744006109
Subject10,109.45906404876867,672.6501895273973,153.19533202680316,152.13620436982535,153.86531824411722,52.17009279010513,66.44522301360496,89.54292181018657,149.12263667500383,144.5800395285475,61.05914485599991,45.32984681876253,104.66625942207929,116.83991250548502,123.90686573117941,111.72813730175855,169.35245843595862,171.94609653067863,118.66304488095062,50.71686064207093
