,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,232.58955676283125,535.6361061979597,519.8696425594114,297.7561606350511,1540.1208063570248,790.2691506781366,990.8365465498649,325.83244584007093,721.4423404660732,337.2274141904398,772.0095061607007,396.6959158718025,385.22627050889247,356.71831569328987,493.99019475032503,488.3605456898267,342.5789526976372,847.2294834360827,447.8118635542362,41.00560127460308
Subject01,333.4397863110201,397.3346014358466,696.8223468966772,871.1942691120519,318.3040847464094,905.4801922835954,470.18171598184176,699.7705443637727,1059.6114992217608,641.9127265616606,443.888872265295,426.6084519717232,565.9231880224875,673.8392292149466,494.1831793097481,670.6550309343285,685.481965915816,781.0150429192455,1258.6970510971325,63.470808651377375
Subject02,239.81179848023,1422.3416070726719,542.301319349249,829.2544593352587,645.0287134153348,2107.2484442666096,365.3408512630566,716.1597713287254,475.4079619620011,388.18832699970807,380.2407144070731,697.511569368935,463.5045189744148,575.4534567591245,777.8848918747121,734.2364876364404,489.09401299772827,556.0705237961109,529.4464087415976,136.68194456262066
Subject03,1316.7089884920854,529.0314188641713,575.6633832175779,1074.059974727016,903.9795022522144,483.4675512282817,1509.4398966967037,211.8671135893208,409.67160840062144,265.7808210321093,184.6273412108946,304.69839341508725,284.943119595724,383.48194471773047,558.3929376435756,354.0725474976855,483.6165099195932,445.44920926820544,614.2560963643498,194.1890985192217
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject06,281.90013108985505,365.7404435119624,1162.0872581536732,319.1802095588908,637.5776034498687,322.4288581078122,290.95601979192963,232.7877735727245,271.5702798755405,209.95019560511435,197.53434615875716,190.84553078177439,284.9965674045379,316.2741421467139,231.383903190296,240.76491300860388,394.1702219963984,214.05417974542368,240.0005259657405,82.52764909134692
Subject07,291.95255931597694,915.0663523801262,244.14294014302303,160.92706323977384,442.25686119597225,336.09157651513647,301.75666184055,1648.6132175906782,393.19118475985687,316.84607273035715,163.21962365479084,271.45961585968615,466.6430258511084,550.0711217610735,534.9770461982523,489.37913305114296,186.7327274437746,331.8421846191625,703.0975335312568,154.09290489502348
Subject08,578.4895152107724,588.32286617499,202.17966603907846,364.45386285056173,225.7849538004683,491.30285185785107,338.521537198654,297.97544121737394,266.5035292419389,219.6607820020752,736.9097541163832,280.9139292204202,299.22755090459043,351.3372378632449,286.4068007625047,673.1386584977597,174.8965663884042,256.2257581737259,336.6141369882796,165.92006894931538
Subject09,492.92671631276124,444.2707628120315,609.4205877042267,825.5630023646386,530.6413339731345,341.13565716082127,379.7123105492417,324.13966081429567,704.0557295763174,716.7947037325416,361.7618165672959,252.80779751114025,518.9684722105382,539.8694430703858,574.0965396126832,378.9956451957756,962.1085688399228,822.1838201999449,1012.9806916954409,40.07390900538387
