,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,25.02572828268025,35.73326488179771,41.695104006079795,49.828378253661896,41.09586835872312,40.81348076112444,43.441257397475155,34.50899565962273,35.99746227980196,44.45189150410431,29.354463193204946,34.49208398951904,31.157626967758965,36.06577993409769,35.37966931643742,43.18608123479793,49.11342014739851,51.56528957506651,37.6799959556301,3.61617775271543
Subject01,25.781992754872366,31.107601820778157,36.35962911280505,42.87392912022581,19.34593328066961,22.097952556426353,22.135852395610826,24.63515879146077,38.539849909985854,35.47284259851738,16.901386150700162,14.643970624250539,28.628839931199398,28.00397668131571,23.86724957739956,24.75946235352973,40.352786983063936,46.72791207124082,45.090079091585984,1.740847666453683
Subject02,17.91941063561932,66.84327349595688,41.64027838237758,25.811880813415478,14.64751707603285,25.003239527771207,21.675708326925516,22.836002617973634,31.199439639595823,32.35865712933947,18.147221787758365,24.3042998133332,27.705116456489275,32.71988996233669,39.18052880252098,41.28563831026498,32.96556828275468,37.97426226809395,29.58681247848365,2.66346557994076
Subject03,30.719059974745043,25.311142971128064,49.080128644826345,55.45084236501485,23.549466061529817,45.07551821840944,25.169157855321462,31.17656671319119,73.70355661680443,47.2303476654621,18.877777899716005,29.556142859619644,77.63321624721813,46.178978503379476,42.98551740738427,56.99218923864785,47.774806494923226,364.72246356916406,78.8984367520512,8.762926875543931
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject06,17.10585521719483,23.619815186492655,36.56457895609602,26.024794112703805,24.340034906461657,19.489556775209618,15.8264764827225,18.07860853382679,17.49034887153825,19.426324198285748,11.98972585885096,13.469085371882421,13.952488401033568,18.323433514276182,15.444718889418777,18.602987826228585,27.425872395412483,20.10261780408932,16.581085898376468,4.550896813339463
Subject07,25.62664113202038,23.562852337417805,37.20244963298809,30.110573987750954,22.232541429371075,16.029225377951,42.0491008601711,39.491468095580494,67.24491035189016,60.46557604437623,20.31927409813211,26.179473701252775,86.83297544029226,89.3226134951194,70.14194747140873,69.1904935899102,34.61558699278153,72.87896778202894,99.9724594935136,4.608577142999353
Subject08,23.901452764511667,23.8760161784301,29.7864407275083,30.749250722756827,18.14846553634185,19.208141103322948,16.193945665350597,13.631574147179219,25.212085791473445,23.00225924713027,14.99145200720261,11.61444537129221,20.44737124745716,19.798273986220526,16.909420031470287,26.716327305479936,33.81296214909013,33.167674117018144,22.581192715586663,8.74204422389688
Subject09,21.352711972258728,27.21006326563687,70.5722747679275,71.01024491018968,31.8881907809253,25.39721028326014,26.86690481855059,34.96586216267901,65.78556290743508,76.7746757038949,22.148082993749203,27.04786898186618,55.825538828405584,56.22325823477981,39.62559406038772,37.95372784953662,91.91045140255953,108.56375770859745,74.40208179628918,3.2005970560535317
Subject10,16.657018622874403,35.33311958154235,38.62084574476707,42.21091727966501,17.911058479418163,14.80210919839446,16.73145989381458,22.091448556319698,39.88407750169682,39.10689427530252,16.023187353112974,15.317318506555823,33.42021887728566,38.341438414292355,43.440166514923284,44.246334255026134,49.90468245887594,45.37469230250786,41.044540505463516,10.540894156729415
Subject11,17.911197980903758,11.040600122955572,23.97767229745343,22.794293622246375,22.08886609282411,14.698180718877296,14.126471215249268,12.773430548506203,19.085073070648058,14.543202170326417,8.93588603279468,13.039526630784247,15.571019011639306,15.983882806708621,20.093030680449584,18.86965238626423,29.42352324135791,21.94374543194974,18.029934533234297,5.869066974725955
Subject12,29.29727202511495,34.50108039006057,44.79986004300711,57.09074798802554,23.088819366668925,35.63508259454071,37.44245843256273,101.98466549918075,57.36115456522563,72.13402382215928,24.830139382534128,47.5870387662847,52.002209479860376,71.84748015310777,48.747534167669436,76.80794786111252,56.10500953182181,75.65343412961995,69.25369298529458,9.542611853842198
Subject13,19.17310745096741,21.72647020602839,17.631714351195818,25.002229326849648,18.362187192386077,19.1263833180232,14.406170395737147,24.254497877318396,19.336300565687136,23.925636614564006,8.547004266484024,12.855566754619847,14.834838394399023,16.078955376727,12.00388615623114,13.25252884831826,29.30202605201128,22.052037980000428,17.395803858472515,6.1824923081172125
Subject14,27.96541152828098,23.50935773569846,51.04740789916621,38.280555484161596,33.649445765505924,27.398837097461225,16.635324376077662,43.798509285663535,32.27076903587798,35.793083777563076,11.89200628123176,31.538839498079273,36.755985127327946,33.43195998057116,15.756918613971918,21.051044948156743,58.5398438044401,39.48918117504247,26.777194731080044,1.5054313134723798
