,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,37.76694168167643,62.14877957878284,67.52142504883271,79.91846213389245,78.5265469884651,68.53152166238559,109.21652650916094,66.94509206777609,70.97326141788892,104.52274698226857,78.83041939190758,66.4903183447623,67.9567197458427,89.06040059439977,67.58222810927269,94.78395842182294,79.57769375923799,137.40108251926205,89.83035363561184,9.496274716951692
Subject01,61.368345828402425,72.2521290168507,82.75019953115455,74.18078873944893,46.45642620276436,44.00681347208824,41.37238432452521,34.73607542170818,57.87099259162152,50.1822744636383,30.606942344299014,23.646098142140335,42.33494161053432,41.32986431546148,37.158596215063184,44.61134612091124,83.19587495013353,68.20841029931118,91.63653082960867,2.704303060192661
Subject02,40.64307412551,188.18323219518086,161.00698738482882,55.08759589726378,26.605370306792803,52.72679385164062,39.663908410910224,47.382878355063774,76.6500691317263,90.7664448717285,34.38727105067803,51.175924255612045,74.51864004229907,68.4732863181092,76.76327453424241,107.79740196568271,83.75250963008911,86.13617776916689,67.18608687399856,4.1092823878228515
Subject03,48.27382903007934,43.79686886204192,96.45994736599448,93.91234426155302,45.234255188601196,120.40536602729938,45.36429377820532,65.62987518784598,197.28417350171975,100.19970701445155,39.246448060423376,65.25328432271286,205.47357694663043,95.7671512171391,104.35067393552958,124.29478620787096,96.66258969520028,2182.456332067758,149.88406955152354,15.878605001375446
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject06,35.36070829895414,46.65358187522166,73.20324307028596,59.50402735262066,53.883206155656296,34.72534842117889,35.699796335280276,30.242453162976602,29.96957927894629,34.167958874155744,20.228705751375326,20.70203380103632,21.567811599917015,29.840180410412394,26.38315868997147,30.997743517326633,58.89084200085207,37.2093271078739,25.466766463540587,7.856631895285907
Subject07,59.874158304312694,41.81137835646071,64.1783682379301,64.6867462266976,68.21401217163265,41.30193244277974,98.41541079637395,93.011439477382,164.52269062442934,167.94702954129545,47.94250741790385,61.91342976914011,328.8731315480494,312.53557969912333,252.92236518265307,250.91927949574904,62.463720645122415,164.79370756795092,430.13501609027406,10.559211309720022
Subject08,52.13174211011944,37.4983758417355,65.46001913678586,54.18339748060845,31.481750251790167,28.73131953428029,24.642677579793556,36.100413140517475,43.25523236753251,49.26670903887067,21.437578965714838,33.04636510831964,44.95895971847437,54.19138125493985,32.92994903193756,47.931951448776736,67.9895217209036,62.45847241456594,57.216301350059005,22.670544470494264
Subject09,41.24337239387306,54.09939047169494,109.92727235992045,109.34074530815427,49.054039948741,48.69759560448598,59.344830492951964,60.75112901330843,106.13225727714494,118.12958345530822,44.10474276575639,58.873408285212996,122.03907513788599,87.15924834218526,78.93409245252552,69.14686895282335,139.47982406501308,190.58802195513826,151.50579293419506,8.064043544459805
