,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,98.01379370924205,103.61718103549455,115.49104001699922,127.18509819697577,84.85082058662522,103.68629145299197,64.72833377133969,86.10882774185238,97.88050521839574,104.73113099953568,55.335505744296846,82.30621340520912,71.28256760120529,95.20369348596876,206.41215900132286,454.39021707740153,126.99496412895263,127.13299567164748,66.37841245060926,36.27616803103656
Subject01,35.543775604288804,36.53912871405227,39.35202561000972,36.28198641199401,24.348052621747332,24.107985763145237,27.026259839361053,22.572950011413685,33.498611718711295,29.225669370362787,18.752096341360676,25.87140756066748,36.13014989125335,78.76646380404387,57.23203894005415,98.37585271611155,43.10950100023936,36.64338750741397,57.046764406963334,16.87160719830885
Subject02,21.44784579704063,81.16703508517674,37.79703851749136,32.73923339925639,22.440618417050047,31.211056637813037,39.66461862598151,37.788509154143455,49.484864852601305,54.323066631389345,38.635304670691326,40.91909604711161,63.994342459855154,64.88184466640686,104.82360282811216,119.54507088524159,37.62456445814012,59.9073008023783,72.3230411169693,33.63072624825108
Subject03,16.18118842359899,20.189493116133495,30.47948756985184,27.387251712804478,19.42068496439135,15.245157973627744,17.172694479149506,25.876548617096052,43.379002110302444,54.35487372423691,17.087931488883854,106.77793223907616,49.9880973809929,57.853926216714314,61.16591084350006,83.21414759231212,31.585159420872994,44.57829895186396,87.09031996401974,38.55459159282246
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject06,15.055035296892939,11.145927422829036,18.64639541037351,15.328469014929949,7.43254821643022,8.655320966896818,7.7398425411179685,11.925578041415497,11.739013189123497,13.197809130653141,6.937609702856072,14.803908963010425,11.292095034909387,16.036309394814257,11.754698110926292,23.336992122667077,15.053540739528128,14.431789569614413,14.999227023449727,1.829038538333808
Subject07,20.107840509315427,32.12078273698403,19.65458002585869,29.328806773477957,10.287842760059728,18.384438950464094,16.00605755393674,42.25826382975165,37.500837185398595,71.15466363077583,16.748710163122958,35.069799739217885,71.3813464245707,123.066337100045,82.39009081078858,122.65180628490938,25.770458202523105,49.1069302047356,109.23646634745066,2.5201936748930978
Subject08,24.720630355633432,22.859388803881785,20.98277923712687,22.824580253831314,18.951564705692785,15.87400215889825,15.493955406961541,15.33827527489239,20.364356328215404,20.34982667998993,15.953719904497634,24.87053412009395,20.0831899221668,22.539126669239053,36.79561293378798,49.03656725594739,22.9786926905549,24.877726201962865,22.64870903386009,11.931684068277256
Subject09,13.25886610434764,17.35976729019842,27.62047361878764,30.098897582640344,25.944255661607148,18.647646649001743,13.030191590170471,25.42938907058544,31.922875228171662,43.32958796283049,17.10051246072726,44.27730199501485,44.2012295298409,57.24820638073096,52.757280700755985,67.05456159324585,35.93178270214965,50.90900704982887,69.12017704555429,2.4146673577677857
