,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,452.0340774213445,521.192844992658,535.7399231000957,621.2295974371025,398.9747729142011,496.47502001578295,202.00806385023932,358.6063676998553,369.9281545901969,472.4225960362787,193.02520096257436,323.974384911551,241.54420983022365,321.17821491427384,1010.3463523189631,2464.7567061569,616.2024493103364,507.62949961592204,169.21243727833254,94.38454284717437
Subject01,63.56202914542851,67.31495961034841,54.91931686385412,64.14433139747351,39.941678481254066,39.37291512840014,44.3377748896671,39.6955652808618,58.33524461076904,52.901366806752755,28.910656070470292,78.86008484460156,67.52784351198017,112.54768233018638,135.14652490774495,222.56070253148977,76.06908751854886,58.6966399210585,92.5109330407584,35.62680936852928
Subject02,41.69972752150194,125.27403268206795,60.765949147132574,55.76284773619373,41.86456706966902,53.78530971133164,66.7535976653313,77.16408742896682,81.8111184457659,92.01171469971871,65.44145328449723,81.60423371422425,113.64392695442493,122.11061130418314,157.0941858184589,199.36692313393738,63.41680296156527,101.08467750330449,132.58833590917243,65.23190727998995
Subject03,43.24612768863926,56.82980509748617,98.90886598968727,106.61748580533542,62.012185522278,39.545586644859746,44.56542664913377,75.8305779398566,137.72878951837072,150.0194224655538,38.78774530251903,305.12956630797817,152.26782366155544,155.99462992255638,189.63091804809036,347.8042012013221,112.2999202879659,167.65791097183816,258.4841849128923,104.2838098865937
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject06,21.604669258046624,18.552454999705656,28.31181194763869,28.122150248334954,13.267111404035473,13.57805635746143,12.452057422021909,24.485243515217537,21.027406434711605,19.962207650281805,11.839536393694056,36.38737485344721,20.151004946771025,36.25674124910277,20.151483584491206,59.70646738058179,26.777310389391555,23.758262356679232,30.305242471421742,3.9815902738076194
Subject07,40.22754461739504,76.21587614515092,44.717727616332915,79.11789622437519,18.533900877562992,50.53841603724206,51.02326570315885,121.97798501805711,133.35163748048103,243.4236860109491,44.7033278386526,94.07004136257595,282.29882860368525,468.03131997091145,287.00232613660893,458.8518519060534,60.758841025262825,164.22041285196084,430.32131911358226,6.2863786560982735
Subject08,41.24538926904174,40.06226679396642,40.691778166015915,45.6511254249329,31.70791051943959,27.217038057877613,26.144454055826774,30.71532702663653,42.55386341456607,43.89147460671564,23.368630292597047,75.26167706741428,38.09592667827098,48.95570946338801,69.80943653162416,173.48429183712958,44.789793556634756,50.102579921204295,41.992445398909794,34.10643921698158
Subject09,22.662185153056225,33.0526384118966,62.59501023139466,61.485016283843855,55.35759574789902,43.502279151701835,30.322606685149243,42.53363862044273,61.253490058303704,80.74634268235701,37.690931579233215,62.30333196328281,100.82249391584936,131.07434046273207,90.32980853661427,133.50334338103357,72.08229249287164,93.86429288942024,157.41145730650567,3.87921962303539
Subject10,30.187237517987487,27.384698566459864,37.628512082295195,36.27651852270164,21.69520575169744,20.819923432040625,51.07980060540077,31.972326089167375,122.31842639409571,76.82636895728042,52.855313165988065,118.077872839154,366.4885880769514,381.00047338823634,509.3269954928415,512.2213800480233,40.72436141301031,79.61142089971605,428.08937673034114,10.464241218434772
Subject11,9.259908793476507,11.57736115999914,23.422309724511546,13.52388458180219,18.366639614838558,7.824959546986858,23.6639381035775,9.704697606343878,28.336390239515275,12.577670681664593,6.753583386812673,20.123514023081817,10.143836690279056,10.817893902088235,16.827227194093453,20.410781197246987,14.957582130343608,12.14955402116024,9.210786029621433,6.130439961456931
Subject12,78.77225969924964,113.77843763222417,120.53142891710317,172.59877334018051,75.93716058743601,121.69578263515069,186.1995213571965,332.8724382056928,302.0354064805021,457.1939510642896,268.9133148364943,1004.260864697591,1240.6001737621048,1503.1717909474435,2552.3336254878686,2388.2893013658863,230.3743385362072,392.1206083233077,1596.6022312939144,60.292994111030794
Subject13,25.871816379839878,35.864407419558255,35.41307591068637,34.32384480570025,21.318923564157487,20.827144564250123,17.869355822177777,25.234791962924135,31.70797521470879,32.36479657522878,14.164832961129449,12.115834479316817,18.74434482339759,18.06089573183454,32.28947558121408,17.253075425024676,40.845629691479324,33.42462842340987,23.362853181100967,20.677574049712835
Subject14,25.46458231632283,22.578161536730224,66.08045098033992,88.6353025710263,33.711465933142435,22.495783215823852,17.1021898676653,283.88995342960595,36.859093859315244,24.696372949236544,27.722042980441707,96.4109599050329,73.26248858453073,127.29071374113093,131.2427762944554,147.73592729386894,50.96150904853282,24.771607774183465,87.91187929899542,11.441186682202034
Subject15,313.4361676526592,253.25220122519747,355.05929607391903,415.9885418647309,215.57929090595556,197.45678121869148,165.49173412690473,93.52480290120278,276.3903928149632,202.51823300690347,243.98609156686885,347.7649154463582,1554.8059368262718,1504.6860699996582,3098.5991611560444,2169.199690165049,415.4646216494843,218.70458484463293,1222.6211785833816,31.881707122263755
Subject16,20.490123881695624,19.799018483617782,21.930807437126315,32.23059820668678,15.366402105571543,31.603576636054978,92.23265426485825,31.176982527559314,29.378257500285706,48.54587877099654,21.107026202821803,25.751487120988042,45.00184499998174,48.497181574003456,55.18064102217966,72.01508640075703,26.12281017998333,36.504656265149976,75.17463857291212,7.207770058396582
Subject17,73.60697633927472,82.24617986323243,99.65211844454629,147.9139309992133,55.12113749627673,64.26089582631796,28.74846077767001,156.94011409064984,71.03599226676292,31.20401115122289,18.058506463230025,320.4994709288074,42.31897433622626,178.72040888573784,142.7618909507868,132.79807529881535,146.47656497576565,109.85240320056195,50.50907340911374,15.746343385887545
Subject18,17.21651862333137,12.103335080197544,22.216109139566857,91.48518148310511,19.776761974489332,30.299820798551227,15.848994664699152,32.76101922812063,83.38938907143722,20.7751567364778,13.946026985047327,32.07771617579923,50.96099323970449,25.664878015785092,52.56015486586885,52.87947408412648,52.406044958734824,26.6528431022146,25.137526159971703,3.5895194287653545
Subject19,41.37574443557218,48.135770045601745,77.01234544490073,84.27191082201593,34.64162089199815,43.21832259941924,52.289450386953234,65.15637455527329,75.37436246827274,59.27850762938634,58.058628491047294,218.71409204637428,138.93973947782152,181.2499180225455,244.04627764563753,161.16995529852701,84.12747835125377,92.29787427562451,122.159501607891,43.596026599540544
Subject20,50.299347477452855,36.85893656320714,384.85213769581947,43.31012312763513,29.162157369081356,66.09800836638173,306.0911080132617,87.60681275821294,68.13623313730609,55.209535897247555,255.8738408073558,42.152779714117976,60.47858435822931,42.52589579662018,35.90542671762124,40.507305616779874,62.77173557830246,40.028825596199795,45.97744580264472,30.45627045614875
Subject21,45.8146542705959,45.66737980714958,86.07736583693611,76.16460082587913,51.75982726132333,38.40233494619515,45.42860457303082,33.555717457595655,85.21005689845468,58.76964462100123,47.227157436903596,35.3229891322449,74.45005844921884,50.365273099765325,225.06837477866887,157.35977491866132,76.36224280006402,80.35293345329119,67.5586335799808,17.644169332192902
Subject22,132.25283046599824,134.11589988174217,198.99397825396156,237.1378534361608,99.55538203876797,111.0829961835847,66.6791816514501,112.74097396739565,130.68247192756738,146.0997093067189,51.49630167454307,108.28190654060892,90.34650322076115,123.98336795975192,151.76733308442437,331.08572286093016,243.0816629580064,195.48343005111715,110.90328047323023,29.422115053695972
