,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,12.752761227301546,11.339966837821391,12.990320016714243,13.791092352787349,12.684751008509764,14.31537113214226,17.34129772680636,19.50818083023383,12.431311486132717,12.913357376122761,16.363194326616615,20.499992885093565,16.55948276029766,19.31507356784884,19.62773068658692,28.557237871020067,13.555472238759226,13.808804375137308,14.956530356430882,5.552381813367095
Subject01,7.1278306704449435,7.560905314011118,8.239462701144088,9.632672996778794,6.544827438342229,6.249133598494865,11.149599725514808,9.192344670367268,10.25236400125573,10.497827812388222,6.654742410092049,9.06710072568763,10.374803896120454,22.893903300244858,16.86132104528114,22.985071039800467,9.942197558028418,10.649743641801669,19.78391482963738,3.4379181308741287
Subject02,19.27651460269763,20.873064953347466,11.086830939145203,7.555587162395958,17.220517328674738,11.142612586778784,13.338065200943374,10.188264412187994,10.34557533000075,11.019607772347497,12.871149025412526,10.867137199786695,17.41285624183144,15.798079958699171,41.981974806691596,34.60862964211593,8.931209902267405,10.654735496644152,15.810213363746344,4.073351274457997
Subject03,3.5918945785615275,3.371822631951853,3.3834827047424287,4.899477194443513,2.8020826445950564,2.1943983654691386,2.2412100621917177,2.5726846221192456,2.8793127337404614,3.7567967133526357,2.2691455839513255,6.584274867258615,5.224671981312363,4.917542027663257,4.88495064621666,11.476022601541157,3.546061483705261,4.361816054720141,4.285981619690793,4.681468644041484
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject06,3.8134694878623265,3.690351606189904,5.794229286260437,3.6118818209404453,2.6537648856029055,2.7739962818131905,2.933026725714098,2.672517639989943,3.178609987788446,2.7660733635997587,4.111596721253957,3.069149681181316,3.996785589254224,3.0342762729393984,4.421764320387743,4.15945161588205,3.3887205860961926,3.0852200799901635,3.4462082518329,0.6980140195599961
Subject07,4.4552496926634495,7.743552940110826,4.089550005291887,5.035512218162683,2.9128963222399076,5.354387002698155,3.8155929634641654,5.930336434521653,6.497550784905358,5.8853749534503095,3.8936487751361,3.88337514228212,6.351500084745531,7.111020653183082,8.099398198367446,7.820527264774501,3.934169005847246,4.776277996282298,5.409609854312967,0.6984123365453576
Subject08,3.6091789758083532,3.7727751018445326,3.085938338027187,3.8812711937662794,3.244370253519577,3.1202223159166893,2.5360204936720363,3.4962228478064485,3.2826453537207865,4.109909629325437,3.2205644518129013,6.312871010655233,5.865306685241447,8.587988762739474,10.993841075749827,12.655108796357153,3.1947884515252793,3.956782389733558,7.63563130893845,3.180245721408657
Subject09,2.229049964899769,2.321115991426245,3.0047425726912924,2.9928658727541033,3.091679419120823,2.9764740767533957,1.881138676121992,2.6477932393231316,3.036464028370332,3.3431056864781055,2.0232445830108845,4.894306629342565,7.736171441820605,3.9548440624020347,4.196745635048932,5.178355395667863,3.5338064612881133,3.5967175097796966,4.858735006549534,0.5044444248219994
Subject10,4.282218791696072,5.4999182916995135,4.960370190587693,5.085568605644279,2.9322364766856737,2.7094511580617175,5.607298425741147,5.600831641870964,8.471678637702585,8.029275668001636,4.2681206130180005,6.549627665545447,17.61427103435678,19.02035315031065,20.459720425379892,21.778261782658344,5.064391366763164,6.098928598249504,19.172534537783633,1.6995139653492015
Subject11,2.1026799261399898,2.6151664670077825,3.399912188929882,2.5629012990964766,2.293185483851587,2.2710676163320387,2.8693366789332075,2.1341154772519695,2.109363983358641,2.5548983413638413,1.288539560187422,1.988807203718134,1.6738922784118073,2.1635319247260703,2.838751821801816,2.462690548486387,2.683480068393375,2.1909917154044782,1.9242341854957568,1.5360615875099626
Subject12,7.282187745908714,6.1596205598181015,4.936250981250633,4.957551721750237,6.044913104050759,7.350307647549539,4.400194542521369,10.105539054236155,4.921432921412794,9.646206680194886,3.979198280021616,6.58597065112354,10.190825307005069,7.493276309795418,7.263860427300644,8.144509840610034,10.98518759649154,6.318123024744239,6.246985365588643,3.490037140973674
Subject13,3.7500638916533418,3.9656209755181595,3.494948834938649,3.7606877231698257,2.8835458200975017,3.494704998520058,2.2642517744925663,3.4492433430561222,2.524132628663686,2.958820527488412,2.381274522591907,2.1219255908871237,2.582434845172576,2.253191554878637,1.885182240542847,2.0287692345981743,3.8544606261795877,2.7049075651392798,2.3991857458580426,2.5944594045861704
Subject14,6.847830137121685,4.576768579200972,6.004305032642604,5.212927302121471,6.178440825953125,4.850276066990897,3.862686471856366,15.277208036647341,6.483937116100751,6.618445564305853,3.8149057176291294,8.284737206678935,10.705461890934126,12.174760904644272,10.614612524065453,11.19386292237008,5.563348658018793,5.421043914044756,16.453170179856652,2.122702834777552
Subject15,6.764951382945133,7.986511063321013,16.311477317356214,10.012587468631349,11.232967988916979,6.880077983063498,6.884632939798221,6.594279392925158,11.053640400765874,8.603764341177751,8.650275367999203,9.62414074541715,30.140558679005395,16.77601738401872,19.120590369499098,14.593835895051068,9.84905591828102,9.918487187453637,17.858830640442363,3.85423970510402
Subject16,3.93526835216556,6.652736567018567,4.8308768925911725,6.817603259801767,4.082811317846725,7.4539734814497605,6.23520123099626,6.535303673205229,5.09341439478003,5.276695675164588,4.978728818899841,5.065333116349447,5.914030299650674,5.066865923108974,7.510202267683251,7.548503997004712,5.067683110179285,5.822009028394142,6.288955474278394,2.253367616215979
Subject17,3.5157183509437155,7.31236979517957,4.0187833832309305,4.4009877425883035,3.5538931340862123,4.449478646076269,3.6514864364618878,5.435490470083277,4.802826387677427,4.379857670316572,4.1653603256399965,5.423088022914211,5.399784671761579,5.271533173179124,9.523308829666403,7.401181584617919,4.512146742775556,5.2252912857707505,6.841789959497201,3.2850188157541362
Subject18,2.770335712114338,2.570159979475666,4.179564994425712,7.771736556752797,2.3857120847430915,5.471275975881604,2.116461323387604,5.283783420475921,10.389767079021986,4.02572003991202,2.0064939267623245,3.267563184446286,4.944669682525402,3.82525698489423,6.377122710494317,6.438558069330221,10.410239138219021,3.6724215777671763,3.6392742814659824,0.5131171298211747
Subject19,3.405038818567026,4.507107703986714,4.357205762507487,4.852732538049108,2.8386339461439594,6.2079683862206005,3.6184586468433655,16.653210045835944,5.281300237848285,5.531752222674835,4.205205891212624,11.82869690660991,7.630286705168693,7.472958694643811,4.811298528236252,5.757351966177498,5.121344478835512,6.217083001457382,6.673508066694045,3.9155710995387367
Subject20,8.442597619615782,6.869494726530541,11.894507248893579,18.69831895963823,4.625096781716104,6.3037662316450245,9.469732802210547,9.373404341898766,11.6632090713387,10.247690101918849,9.023525815410746,8.246715875548178,11.577133266990868,8.911056708326912,11.938921516651186,11.015213145356258,22.159407708732093,9.723867784978076,13.508382612911051,2.7537875613130076
Subject21,4.602032569401084,9.668556697307624,5.466017953155665,8.25783304217293,4.0702054799785765,6.186011271276564,3.4102090625169255,6.661941816256172,6.186014651049114,7.461977894324445,3.3206440675887836,4.852053985846112,5.093920537981319,5.901876588189197,7.414961816452312,8.080177354812838,7.504820090836443,7.407268844415515,7.9914859958680795,2.115469382959288
Subject22,7.226415468073929,9.030753302943221,10.571142093008078,14.509919421973986,6.223625853940197,7.227217134863511,5.793751414703105,13.463013983874573,9.888923202072144,11.141864259602253,5.727689172377493,9.675822464080163,9.226714602453205,13.107695396279306,16.41398989501305,24.556650904909798,12.343323654851066,11.7176321280587,14.190994298937188,4.247281299893484
Subject23,4.434741279873521,5.903445797365069,5.819467655613256,6.083907665273285,8.841310375327154,4.089022112670516,5.897759052762913,6.212179542052159,5.881372206356642,5.863524824779263,4.897888718898652,5.116119875609081,6.709560448060257,7.181414920343005,10.203104295334441,9.037508618412703,6.2483091061444505,6.14367831632297,10.02152870571236,1.7111316394056517
Subject24,5.012826921635328,4.5893266312763,5.525983379431184,5.122060529845585,4.1597483214225965,4.758286757769535,4.726190767942067,5.294503578161253,6.319173328771739,5.791695573234207,4.216229951616334,3.441746280499159,10.115369872716698,14.49352834243158,12.189345722646491,18.12477384835547,5.3225506087567585,6.497129151470924,14.218583116218616,3.23026989480899
Subject25,4.893664682110997,6.245289141166453,6.0181661476462915,6.563143472037325,5.557003381657513,3.819767977515406,6.810066866704038,6.665037747773335,9.898036552074467,8.915769670546961,5.967708778451549,5.664289581430232,14.984031174721089,15.302980754257007,9.165724025361277,13.022649263478126,6.236372485917245,8.61503872245283,15.595383155846108,5.923491893911161
Subject26,3.1307865457311257,2.16801579836061,2.0298142741854597,3.25520835739612,2.4359245603018618,1.71703178922471,1.7405087195128734,1.663672071187116,2.3441986775176558,2.5515685489970323,1.5625398011176357,1.5700336564707058,2.4689050896217077,2.864371697893688,2.7248897794466123,3.2351199825953163,2.2266373450673687,2.1798040469765096,3.18293926996205,1.8489304458767903
Subject27,4.653360487372509,6.4759648746977625,3.8743232289512775,4.469514622047175,3.81323779236185,4.033104566964022,3.758582711057295,4.009797042218688,3.655743521823113,3.9701061988586632,2.4671545197226226,3.5217468824922507,3.6239010657813426,3.514642289248356,4.082506981595486,3.8824205180052123,4.266220556423271,4.042364184605924,3.3584923570285405,1.0804340910022112
Subject28,19.556146157213576,23.803731426637167,7.196288498256098,8.588567359264761,7.17247410306258,13.989310154873024,7.8510881705536875,8.167090709100185,8.6264305609523,9.394855708146993,7.8023881882627375,10.266307844179648,11.507071362992574,10.742334414478872,14.824507525781051,19.992987307606146,8.03492493851389,9.501080476933037,9.426505908456562,2.745790235506932
Subject29,7.39645869176028,8.112830501220278,9.542117342967387,9.862295027351575,6.201582868331507,7.273500170660225,8.496445454448795,8.221384818342008,11.955448117722831,13.172081924809783,8.049018193813083,16.381766038112023,20.427553762187333,19.319566888635073,33.37574744071728,36.31041529168884,10.878223471863285,14.531206508280086,19.164277475050493,4.183849973685854
Subject30,3.393765905392815,3.4661736750688554,4.356297297543918,4.524093750984778,2.988826577443768,3.594805632655315,8.967388804682304,2.7650123013566152,8.701690265603135,10.371595766586488,3.1904093501770303,3.708365583283261,6.680024235732059,6.827438065502932,5.641395829657137,4.4958830410282715,5.06399237357881,7.499021025238519,6.607142122441235,2.3365870255592807
Subject31,4.208555475437198,4.829425479841561,3.540429150477598,4.232826242153297,3.592468619424951,3.90174074494468,1.5544222288318985,6.715421916194795,3.928914201710241,5.203214428467246,2.915790289879368,4.333179248633289,4.274063073234076,5.270697994398264,3.740022019253247,4.110143967732708,3.962910024125007,4.829421900838543,6.031729869751551,2.0100207445291134
Subject32,7.447759136611691,4.812391289707005,4.716287511233117,5.383879525163685,2.4925654759882003,4.42101149923423,3.494993905402469,5.72811115404271,5.954429144865161,6.273534809464384,5.5686117624688665,11.3833363428799,9.737789681160566,11.907755237931509,17.876385940806347,14.478062800878053,5.210908546363616,7.080295374539772,10.848379156788383,2.09216940634955
Subject33,3.1192238491079842,4.240382010350985,4.365032454165012,4.6016078827828295,4.283947032568452,4.846254613743239,3.1733100144164106,4.430196306040569,4.491880512786577,5.100582534968735,2.904429937021494,6.225014158452029,4.584425740534302,5.712779119365473,6.219943194852105,5.346278573246194,4.345899381330373,4.913124759001252,4.908074723349528,2.721437679368856
Subject34,6.795047211266212,7.879960681470795,10.815652580614705,8.156279866333342,6.302949024786151,7.475016729858428,8.898281698710742,6.43491467690915,8.973333929620406,12.180699269648002,7.31254938805594,9.506887507371417,10.798525389494621,11.48187020107414,14.330604143293314,14.794636887641053,10.08948402917517,9.80625118820866,12.042989748325867,3.041085392077762
Subject35,7.001914775785172,6.608955609608092,6.146819711031765,7.231634007026147,8.019184497580088,6.023026210323032,5.4775511869298095,6.50724809508442,5.093445810774598,5.834124181375097,6.330742644782776,7.634201644842159,6.101069008805013,6.509612931927922,9.49204131331443,9.162159817231181,7.425580991614794,5.9313004140698276,6.444273339825155,2.3080234129513624
