,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,46.63408586285652,57.87778677636328,69.67596977904098,82.83773203154226,48.70302834080841,60.18744165276437,154.34347277919318,190.18765911100255,86.73533727720664,80.73798521355808,109.47746131576477,214.15132113479225,165.8816127484169,179.14538686886027,161.47364364019515,296.4711025576646,82.68073026469142,88.66939550555371,126.88086135105137,22.92928960373184
Subject01,25.834208316899495,27.120854331729806,28.343137194168204,34.879304525100814,31.50867678965732,20.755089597956438,26.63165022405077,32.49612007839725,33.25559802402411,34.03057930896008,28.067108245941572,52.26657216171049,32.88510906406071,82.92703727269115,73.07700447517223,206.54608664616933,35.11324568695822,38.62729968744609,56.49331274326967,12.06993434707564
Subject02,45.8762238091966,62.37084545508724,38.5368092218294,29.84391105173627,50.55372799854724,27.160791731204267,42.338567744443274,38.27771008654739,44.9840289591106,43.58637211522798,66.11649153920452,50.883134593138244,122.84016295597802,85.82131768989038,269.86695552875364,249.2544863560492,41.08031223912787,53.76605895116211,98.42432818129608,18.05639983170991
Subject03,8.834515874775189,12.60961441558424,18.914329892450187,44.01684217901277,10.814014422661145,13.073483274303317,12.877894850413849,9.858727016345878,17.50391167543726,25.490752006446865,10.506097125192701,33.0465715668143,24.800905382715797,21.288900067413387,20.241520590951176,67.92307063954075,19.80787060309058,40.345359270987984,23.140001027700418,21.102191157049738
Subject04,46.091119333160904,56.25408015699093,68.20929995258629,84.0198364301897,27.95137557517078,59.43833076432921,47.29568733951088,73.76882448744868,86.88430060987717,84.22804799692024,46.23947168971405,103.74037957104011,109.44898707446264,61.89580085678327,76.8323664359183,69.23764685707212,83.10635895072095,84.00291256580276,54.95320103296183,6.3558951547993345
Subject05,17.478292952895682,12.377091225742717,23.384021151129538,38.034292250861,8.950430695108379,9.182429634338893,14.14179564914038,34.45669147107391,27.7882411349988,48.933289401824325,14.596329308625197,24.324274276604125,34.99716802909643,55.51622465205263,32.80408529862428,33.74415318445189,28.073041762069217,27.97513390172418,32.82502885607376,4.909008804856433
Subject06,10.406209810274762,10.296891149461185,14.193788363638527,10.032623752570354,8.168725533882059,7.156571722208411,8.450418543560845,17.182449311294924,10.605561452129463,9.609439291297042,9.608509739873849,25.626805063254654,13.281611331486475,20.809439949096028,13.364475918900915,35.080209242391206,10.473406812911586,10.454832237761439,16.971642500561497,2.3203045661524393
Subject07,11.855419495322218,21.9161825742308,9.91653554205475,13.147852540716189,8.757856317841327,14.626716698099695,22.25468452234933,15.01406269697579,13.718754187828958,18.21023155016911,29.865290520900157,15.090348346802873,43.67034983684634,26.44324752403021,27.447736275634245,28.906971189275218,9.813115879586437,12.667323225681278,19.503914368083333,2.347507578197392
Subject08,12.12366991998155,15.220647242272362,16.009757773896744,16.134788674293393,13.541038523392482,12.720709802299822,12.61103790916833,25.92002845349193,21.893333479178292,23.79251108580678,18.972910477023344,69.37662648452192,58.206500887541104,101.98948685849068,105.38481839011233,123.93310133776994,16.770401254814033,22.46545327653257,83.10270833590519,19.57715179821408
Subject09,7.141435573450258,6.9874351798753365,14.61248137887928,15.68657324332232,14.9324650267301,10.521649409542764,14.695105794572825,19.663398722734986,29.87572661874685,45.249342962596714,12.470587335635713,26.561287192330788,76.05718561537368,68.37638255745541,58.27190361671753,61.24122719097055,17.04731099161749,43.72284263194967,102.59415330043507,2.653147968235034
