,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,470.042130738961,190.06645652776083,191.57512177609985,164.24486646727738,240.53238293768342,198.69855535983322,149.64406995231963,208.7032654558425,145.4218575007403,133.0624482158846,90.45381734378653,90.70972649642619,103.5067438448952,110.92709573695655,102.56775826871865,111.04654993209907,171.36189033043033,199.01398194267313,121.66244234011927,70.85810678930122
Subject01,333.8046205964684,134.87568783487578,227.3159441672646,156.53198489706764,491.92979329359457,669.4800105075811,184.0572763753212,294.12232856468904,173.48081158164086,192.43009330303246,136.38306202346777,119.53124482373278,315.4598035058978,1081.5853436541774,553.1264253193816,5783.676239293946,205.78293955538126,182.3033231493696,1198.0015626845673,256.1784747213126
Subject02,66.98086332850387,251.5775439634571,97.34001428474629,113.1459092530022,80.23508222938642,211.7067572745558,116.29353489292681,129.3872243146057,158.5393053027487,147.1273344852848,108.05023562126937,145.34427693941504,128.1954562372481,170.17803054041315,115.93559695353746,134.17695760183483,143.20534312574875,142.9645302786818,143.57013786799425,81.93500587395867
Subject03,212.8833805684117,289.223670728295,88.25009864748921,102.71009066326204,97.53421032146004,57.35023186572594,130.89826424684148,81.26443768841006,94.04231375543988,97.65111077101729,64.07476651317643,83.91267488565515,94.1436123645191,108.59759478456016,74.62782060193965,120.28269693011252,96.97966308298692,97.81704557750658,104.59983624498642,221.15944051726416
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject06,418.8614729219738,109.20444048691286,102.40337065627585,76.9804003814276,110.41820399950456,86.94620315757993,44.18675538114635,55.86116711418993,73.8531467792978,64.0873774089401,58.681111648453566,69.81593039982077,74.52380398647793,63.32803730583709,46.18023461097037,65.85863548902451,83.13317416651053,80.1493779811526,51.89575312671826,8.195620945520549
Subject07,241.07872677697333,454.2919029805873,146.77537014643303,155.3348602082159,206.28394914670753,136.49294955373142,140.54153736840388,103.67227503899397,257.2628263712477,131.23871816499022,46.08370925919887,80.28416006970161,172.31172242433732,159.45794013308716,292.1309413589235,135.92489920366563,143.8670870175579,155.43075155890867,136.03635348254403,11.211111380801686
Subject08,262.7550043367915,309.14615193869486,55.215626611878804,121.05059636070871,139.5131441879877,102.3036018162973,63.03600507948714,36.24171321271729,52.722231717321456,48.59784237317705,104.08037596466887,105.39148831866716,50.79882726125013,51.14104872844838,124.78464468816023,127.36972423306683,54.8422044368118,71.76133088275557,49.55303438242348,27.842104631308587
Subject09,170.63282948872472,35.41215500772487,130.9579786438466,104.01373752286513,176.51999360132243,48.05560309662353,86.97842553666449,79.023531832593,113.2660934005832,150.11760168476363,65.12469603209775,48.626249391976565,104.87813474174258,122.56049949671468,110.2893900329885,108.68096416424984,150.13478895648035,128.92776356286294,133.42525378018942,19.298748041369894
Subject10,154.04594720619676,379.4188528761278,115.59436802791595,107.64965698943772,112.37256805308911,134.5191894510672,52.29811853760399,62.27233163991392,90.94674822367938,82.1738897689783,36.73835398982673,35.16228406589413,99.34745129986223,112.43305350157151,94.5030451469872,102.33942790839276,132.78283739159792,110.50288059191992,111.65135158377512,11.223507988172125
Subject11,88.96459695917122,69.8763069643985,68.68973534032556,69.5517914059653,39.2308674442476,74.03656795258902,39.150548346538685,108.5005390472282,65.86420099763184,57.650481091775696,38.161917541561635,60.25087431738826,67.02359120586992,72.86958256027806,103.86199685475297,90.99091676570032,82.11274995124352,70.63171809240417,79.54641713795954,9.961362516119065
Subject12,100.23670247421663,92.94914956264854,92.88739480065185,75.18384618190527,46.01220152212827,130.42538865208647,56.0763353693051,250.02964902655285,79.17111449823221,110.7374594862191,52.553112456493245,63.6549849043776,148.50185485201607,131.98604618888322,95.69459675389344,133.52807235294227,149.7100315883882,126.13459375118595,110.82678079173408,21.453190323745673
Subject13,488.350277798408,212.54572853474073,188.89568599402236,168.10554871415061,172.23769411093642,264.3425550735283,111.07376574803257,209.57692731626082,124.59228759497086,131.79164340015146,56.9178218281002,69.57292793666932,79.54810214647506,67.59064561326917,48.48997555610122,69.47734470449807,218.8085499697851,118.134350642876,79.0325943856054,33.08690127126837
Subject14,1015.0745991899938,1611.032251946855,343.9189353916702,405.4016262529665,1353.0941309912268,557.6152719622772,189.18282486136465,543.7199731599752,273.7788412736179,284.933498173135,130.0290743614794,171.21481746287668,227.05855686790156,230.25591555903844,153.63899026508693,175.855340184626,379.2308264445287,277.9068499570299,247.14735505209921,48.247479154498635
Subject15,54.65444829526294,1121.7113404293573,136.317469276778,176.34544519225807,687.1668260227805,126.06669606133836,68.38154248645493,166.68952105160943,166.92191035748002,120.3003665713402,116.3208720293887,91.79879111113614,128.0527922039216,134.4744389041719,469.793520063754,134.35797502498417,151.6567475871649,138.75502132312113,157.661919397986,23.697326741920566
Subject16,35.86102877955145,126.20416803869546,76.69211559343455,80.07078956228165,41.972440188712284,101.47346884883632,71.32499550704215,59.846110868613835,81.2880256932163,80.65973251151252,49.66024124413769,56.34124863018978,95.51659329963358,87.55223065676743,82.77396941792672,116.67289494294414,85.38957438398843,94.57673001443216,83.21213682579368,44.323645292410845
Subject17,335.91938597315504,547.4201319168792,212.99130733326533,212.92533392727503,169.23027728318823,314.3041739240955,80.48464310939029,125.0085489667689,128.73442099756593,127.18741017603304,127.1027372990429,71.23405029060692,87.2584986756799,104.01136498466651,100.91535718507865,118.28676976168411,208.71246799900797,166.01801247524523,173.974982215645,39.84067195430713
Subject18,26.729319541379617,25.7817521267592,47.41688230344381,66.29058615419308,24.109898325531628,37.478669388641016,34.87827152928788,48.82323127416491,52.953858510808544,65.43676303831346,148.99323171341817,35.25999737083446,73.54373767313764,57.97703824364045,97.45254828381539,99.01266966146098,63.71093947399187,59.8718426994379,66.30145703941042,4.281338621600063
Subject19,21.983263480578078,19.76409176307817,84.43101993266605,64.20010153058296,152.70563872812394,145.2405812873249,56.13870756570384,49.17020479500918,83.85663472773945,74.47405744706923,86.80417739797397,167.98802116851385,150.63593239201393,90.05771866922497,66.28136015234598,93.95099178317373,76.83225794525342,82.31794466585637,117.57025963516708,11.10658259237124
Subject20,209.48541189904782,534.2562402296581,135.3015273578474,181.98324885988762,166.60777682922958,213.83567064059162,262.19968200536135,214.42916620263864,141.00693147382822,140.71110163280127,143.37073654313733,86.95828331178383,93.84127033338912,111.63557430373464,85.01823814343517,311.01082340036834,179.13838176402595,137.0435025903577,113.07899762987495,80.23880661179935
Subject21,177.049794447413,299.94026128100694,54.88262798127327,43.18291357611749,72.09267137682924,117.28646759501707,27.51556493169172,68.05022761522204,46.66492872330335,50.802578173670504,20.001583511315747,29.592864959507835,42.40137792411194,55.03058110461545,89.05267531157011,83.60653282480129,59.48686690746896,60.1883618287279,66.57879452222289,22.3825879574663
Subject22,571.0855582468884,482.8421379247865,187.56382388951272,171.57163628997608,251.31931417352777,227.36853318320027,94.38815113870562,232.82582137773636,129.6443978511449,124.72747575628526,73.85484850495621,151.23703226076987,209.658132420222,112.88460813098315,102.79875719587488,235.57036155544327,201.2033189555249,166.08131231739125,125.77604859858204,55.18719449439054
Subject23,248.68845039543086,337.2516759404055,132.29430435182962,119.6487884485758,139.82109664625222,165.33841563609772,157.50688814695306,67.43776459839582,139.21574978669912,98.97362260353083,71.07755743715455,59.70794660789648,99.43112295531762,192.41245542068185,95.81974186054163,103.8205198597594,137.88186455756218,100.69881341222501,116.9506504857147,25.72934314863903
Subject24,317.8912876626835,114.8786788708569,74.50124375464071,75.45246599667058,154.13095242637334,310.6193229267052,79.44163105788124,297.64881855559145,123.32135807042276,87.50325375660734,22.906202602598146,68.03972342377384,59.17104800094908,68.34811822581304,82.27950937742804,82.21107960543526,90.95742171958376,94.87790541673381,64.09400767063337,33.90648574758962
Subject25,739.9684193690566,1026.9804404484382,162.14147070561256,174.97949435314675,212.37221449886917,269.59572446193823,80.85280119825553,146.76494982433996,109.98840976444362,181.1095467513125,110.79604012835067,520.1310080738958,91.55994229008851,123.75034146194677,65.51997324262135,205.80769992947424,182.92565865613116,113.5420538719459,99.87894551327534,43.18457304200361
Subject26,278.55866725134473,530.9721346039715,129.79032290923033,166.23059170463753,364.0892747022589,393.1218600536866,62.449880662287974,90.07155190806301,115.95782505956213,103.90066498254805,62.859617961956275,58.44287256405035,81.36596471691126,103.93926956339915,82.21632625099582,81.23145457338089,143.83484320348893,98.08163302625408,94.21454521811211,56.398248373639014
Subject27,134.8204564460321,48.1889528334496,79.76001735204363,76.07711018878284,86.2293678683966,67.27027508501953,52.47367779090361,66.72860356005896,83.55122530955327,74.75567461461021,53.800849827601645,83.4452162259308,80.21471818984634,79.8362322907243,77.05119757661208,64.35834813843553,87.19666497286947,89.68225321672445,83.21390366003838,12.21161785534362
Subject28,261.3449923792744,370.0250859863364,120.45861363854874,145.55223014491995,93.2338046280498,129.80034007653703,60.089622697275495,92.17493939202761,85.77733404908261,84.57837215111735,41.27291173303546,60.458357716527985,99.51433444749978,105.46417157774928,106.4908834512883,124.90783687057873,88.29344348364408,105.20859175530985,94.82338018800691,23.31230771563968
Subject29,149.63825527160768,112.57391886693624,117.93052010419163,85.61313625974692,125.58752252539615,157.26988370513226,56.19664513771404,55.460088275272994,118.72648232500455,97.59057370621827,65.1939916546061,75.90876535174131,132.6775884820618,209.4135981959118,136.71996274908813,145.88459438194644,80.04387854752132,109.18563581440002,130.86435408794125,32.27276144994627
Subject30,379.86382681924624,316.012312539066,151.53508066402563,130.71934039322664,262.63285256058253,279.74266919013843,123.06143997452284,48.65939910887236,86.61470081371507,154.997465825584,68.48403031955365,20.780294400503774,83.02960940180067,67.8347058061906,85.71384372593083,48.75078543196884,153.823869880872,83.55958252532781,82.30782760683427,45.5234358911354
