,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,2566.6136087776217,1010.3763875457113,812.4237028813408,566.7527498935194,1196.1094680832116,685.3074859723189,710.8352018898903,730.8708628928661,380.0142390393369,461.79494116535056,400.2790889862903,344.8198704392605,211.33944699236346,302.2080291723553,288.3811855509632,267.98660335400933,673.3136238726062,564.0480762538158,284.927862411123,335.87915631344305
Subject01,1699.7412304118066,706.6246387054516,1232.0791362585167,680.4420827370232,2623.605698903945,3315.442502926192,896.2748644604101,2188.4490515612915,627.7453041714854,627.7748274953851,507.1756598183218,598.8115068934407,1628.4611465005783,6013.828129473811,3742.7810367010406,24791.237586991025,919.3354982525349,693.1701845559094,6782.3644490869565,1425.646190998956
Subject02,241.52854665545746,922.9386507113544,462.14359156882836,523.4376492291988,283.72384396645816,963.3004984834005,440.3342274911333,539.6681473074252,715.6362035764832,575.7099974120115,490.4664474752058,790.9145064833835,581.3080645780313,698.5784684807713,453.02769254593477,701.7053718260728,698.8392395441174,494.56513579626767,612.665723326176,311.0552933727987
Subject03,1708.750976329467,2103.1513470556483,478.39033000506504,472.7629529270643,737.9359278297604,327.6059458033862,839.6886161819682,353.1208218861834,460.8179504730506,506.3725866664776,369.8357917158699,429.5722569120704,458.44315121356476,501.5574988198375,421.13153209041207,589.917784452644,543.4780873665587,506.7673061182964,459.4588174365513,1560.449210489567
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject06,3256.397653608822,729.0714117988572,685.4807762062744,364.1949077248233,563.1403541748113,456.92721167796316,231.57921297630023,228.86788578957922,323.9928142006198,266.27112668801414,249.4675225009462,297.5096611411012,401.03699828864785,241.01514208960836,204.34342575250886,282.1673988401278,352.6225723316151,336.31141502958343,214.60890181975824,47.068300464120895
Subject07,1306.671914257038,2331.6032913114104,625.2886216089082,595.5658357062152,1554.3731427581126,485.77446490744,639.6885476907689,434.34084250470477,1094.425378740491,448.92570865802895,217.20624626822442,370.3781541887664,641.0683358491983,583.8180208859648,955.2977137052435,383.75393627953565,478.99211511911227,501.37747905767276,455.3391426819894,60.8532204765866
Subject08,1355.1666258331345,2674.702441589388,148.457779482629,613.3947475103072,543.5936738877506,402.05835564640074,308.6873257980128,162.33501774709993,154.92333448449227,146.79102136821933,615.3280665211494,412.7732826055595,187.87543230612985,218.90183309403224,438.1567318329446,566.4183318329196,158.68905719171153,277.3395235971723,183.27197695604528,176.70113999897615
Subject09,639.4682698136025,142.79690756968805,579.7320161723178,410.2723146607581,632.0739632548293,168.60044885206145,324.9122132427371,218.70053826422546,427.16375877639956,536.7071009161232,241.64889944240775,155.59299253471542,357.01728354201754,437.107859208239,391.6333797278496,323.069575439973,635.1508906171836,506.73900808797026,492.0916615963613,83.38853721145844
