,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,43.61484497309302,28.113163980358443,37.34411034378928,40.47375200849962,32.353856472549865,33.87493064918204,34.58924310909768,34.033408459321464,36.073327525711285,39.1729694185543,34.616769968660286,26.92051878119555,30.820349247783426,32.86486728619543,31.71537069311394,38.44083776914498,40.43880742492437,55.41537802071792,38.00459996743702,21.18849517869311
Subject01,81.21169586771286,66.68505534733914,74.98191305641295,66.34321302208996,54.870431850970114,46.96932539086938,37.863313281540016,28.36350046256834,48.78333673338239,39.496068669961744,27.577636229505675,16.02154260185105,40.816240331457266,60.03488380230633,47.475481379512566,126.7192668756794,105.95205839954575,50.46374486812058,57.678786511340384,19.2894111459487
Subject02,16.583645120292587,40.862564205027006,21.64789074787936,19.738931886745608,14.361306426810877,19.54298416986547,21.776886915829454,15.969674076335764,26.829884850442156,31.40477487052798,13.29161436949431,16.312431898220694,20.040463368801895,25.083395716436723,21.531582871854827,24.34670356030258,26.826721080111675,35.02093600800976,23.05791918635338,9.825474624781094
Subject03,19.71311835229305,15.01445662178518,24.730793405462364,27.298723850816028,15.373843667362744,11.500289594048361,12.089282039724171,16.863837956552242,32.591604146269496,36.6343396231823,13.604407644013216,57.851515922575615,30.97523666078421,22.02534076070369,40.747261232077186,37.918230649482354,24.571188904652534,26.734475309684672,54.31838208082226,21.40976674210438
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject06,22.079007219774468,16.359059871747434,19.80968466138139,21.779056011063414,12.976515995778025,13.853431206201797,9.328860813069733,9.582674655877346,15.725165466212054,14.02826300889735,9.314247467609677,10.891475377654515,14.113846348654448,10.804059735841019,10.473842612101945,10.66505654204958,22.394229846031767,18.52995217260536,12.014227659697141,1.5169585945356068
Subject07,55.951312264460775,62.017804174313774,45.112410591694115,44.53231823774937,36.8708248179998,26.1746667875808,36.78806680437991,30.843170734899367,68.24398366461597,59.47698865254001,14.248783483565575,21.40661676727128,55.41676937287842,59.735253433257675,68.92562501366457,45.506148706170656,48.6867281314214,69.27905121135879,52.3311763618959,3.0738027275154813
Subject08,34.99381824284991,30.793043689551855,29.866506335887177,32.053933251356135,28.197413749188645,19.07479024578477,14.314109183485838,10.460567809185822,24.14642875283289,19.745388252943307,15.14169886413684,20.931533591429137,18.385373273433128,17.78788245885062,26.042654967316647,26.891601697780363,34.374542282111534,33.34089309806199,19.4921265554139,12.382163463410325
Subject09,21.842860149466567,14.965524363803723,49.11333885509126,42.972182460322024,34.44036829934135,28.857850743898283,19.560142104353123,23.906099084006243,44.62487993405705,45.22482112795616,17.489730116594085,16.857303307565203,35.07320420826074,36.68378728046792,28.682492621303744,26.449555948897697,64.85341971986827,60.99795387840294,42.14505118258444,4.392745797941318
Subject10,21.766192628539525,35.8994865973729,40.10665793082684,36.81801491526645,18.617584397795078,20.078035715176842,13.220890885503445,15.319467922812901,25.528767601122205,26.429361497369786,9.470595389187443,14.899359270464885,18.41056369619223,22.86118161299786,14.511850982655124,15.153444361269095,49.91173818473169,30.339998285396003,19.163166452549348,5.038452556749622
Subject11,10.051275539375498,9.17351653542847,15.111326953520907,14.534915026054529,13.302990672441421,8.56298802704211,14.10175475650181,12.282226907891106,9.534870709608748,10.160757820168241,4.817609490513924,12.081181830235925,8.99028980498118,10.430668815387484,11.074554013286129,7.770597861567608,19.233059603610574,13.069246765116624,10.10843165331131,3.1607251159126566
Subject12,19.19245641502402,23.470670532475324,37.58822535744696,41.27804196166666,13.884259348355299,27.07315604491328,24.116569020276714,111.50303369733327,41.80456268252692,62.59220564085067,17.485245617684594,25.55655376142867,51.33980172870852,49.045942550251034,33.22339951163758,45.06572544880475,83.83991479908661,57.7136427725566,42.949253403151644,6.0122665573630405
Subject13,49.78691842726522,52.58444375576644,49.15712125518028,48.231650992748,31.16685591097346,35.264925778985685,23.958082987624405,30.77467196655244,35.32880823042417,34.01623663265782,16.92524248646245,17.17771923296614,25.565158718941223,21.17945825788666,24.055108336264936,16.705900791726833,58.72954903787931,37.14065161528303,25.013135922845244,21.435794774101897
Subject14,38.06688911832678,32.56034310885546,62.584059720769595,55.549186560380065,78.88571175579234,34.27220534777458,20.301075395254525,68.42137948921332,36.42650251067578,42.15332874973744,13.848542188989903,21.231868563955924,27.69864779238757,39.89144518763342,16.495211051258668,19.64407384842235,71.54680578011472,39.62136871654263,64.43114476219299,10.741673550912854
Subject15,33.99284257504971,45.45687796114481,64.91637176191767,67.54215321259541,83.94251889851559,32.14750234963968,29.331489733548377,34.02099078354481,60.24622036280307,45.824151188336614,37.81759011617761,30.966362315086396,97.05075860540849,43.69288934602999,53.27000968627773,41.343130489196994,64.03055834519,55.450960081317646,48.522361933078535,12.233935471104896
Subject16,19.561282820235625,26.369424007715747,28.50965441134332,34.3183281665949,15.65443323943616,32.39322860005756,23.52790819104441,36.283026645635786,29.235655163156775,29.644859440430498,20.253032895329653,16.255122617263492,26.109497964776775,23.533379520676284,26.216040500609154,34.418019566034054,35.283434219402565,33.66017168950709,27.686805983304257,11.264551212315823
Subject17,38.928426964108134,42.0087802617726,34.976866585539426,42.33677735478189,25.864978314812614,34.460646283674684,20.763100194690004,38.14047771354319,42.80156057725526,45.19765753468053,16.008807811094357,135.9516576972039,25.39700106957501,28.190528409094338,31.54341369651718,26.37992972627619,47.49110463276763,58.31151209437206,43.50718374817199,8.222933711385982
Subject18,8.829052916022977,7.158200663619522,15.439750012496773,24.10709325338068,9.17955787443766,16.832516980112686,10.814316258434461,20.150907227075486,31.26609820068756,22.260297648612454,9.383620695304735,9.54383862927464,26.629165243464403,16.57641166704074,36.677541538086196,18.730851640750224,23.035828542416986,24.64048059440216,20.81457029204618,1.5743764128559468
Subject19,11.817119092365337,14.328582824572825,25.108223963633296,26.06209586781579,14.28750000016652,20.62082136439903,15.588010020912503,27.86539804146295,25.03484548321224,24.15387033612799,13.755883908191178,26.99739072183255,42.260611497754766,34.10391861744197,17.666278746777248,19.64357439626639,30.573210535268505,29.611324722325428,38.781248222927275,5.714123244066841
Subject20,43.24508526724578,50.424417050501326,45.07725740928055,49.30455846036657,20.85921231251482,31.003579604764866,250.70057422866446,40.24862426955262,60.88387948333513,48.92574929779734,45.43162956100276,21.642157798139266,30.921008679126867,32.021496941817915,27.681903737292995,29.328163273980156,55.495037642878216,52.97769639241716,36.56911534205201,14.730483548471415
Subject21,28.09712190902823,61.21740688564055,24.65395136235267,29.772115634087847,52.61557143241809,25.775254492599963,11.163121870264803,26.492164054397463,23.224240096340708,46.461691157532,15.97214162884427,13.428832919881925,22.914528076972836,15.922427066295915,26.44314229174309,35.56869639859108,47.47030495091847,33.62333913562955,40.68480829707338,11.26501605061223
Subject22,41.458666555194135,45.3496892810032,54.64271940749538,103.25363544398273,28.714443553676322,36.27810981792303,20.81953656982654,65.40725897756418,33.551512556107376,48.74346836695368,16.63503523731278,30.05929038647778,26.38956846393721,27.449146265277285,22.48001123900846,48.37636255661551,73.49472650067331,44.75177806505246,30.886582398441693,10.300618231595129
Subject23,49.99934505115963,60.601234068391705,54.3547436268919,44.786738071571364,38.24976898440796,29.420490878942317,29.28120912255328,20.357774668584796,37.198063485825514,35.55732143334279,20.439280361386636,14.642087726640282,34.22241608677799,33.31099696516837,29.344352176945215,32.900073800477635,51.12060017164262,45.30850170745433,57.35732703673499,5.861338241481488
Subject24,22.38506179593,18.34476362598379,24.32472082443881,30.730903973927322,18.31128003651548,25.915516561129,15.03908885781859,26.797368235614194,27.146147365973942,28.137467850665615,8.301498661424274,12.340539947106533,17.091755126496537,20.35162689350223,12.611274778552652,15.754782303889856,32.942233949250586,30.169151946982467,19.70297704504435,7.8843714841138715
Subject25,78.1771466027109,114.83163564988972,55.03173007610204,58.73740924693735,43.037201978796666,32.23348519444245,28.12239592193619,27.4965821095315,48.349978767209386,62.07373354233062,28.00830267027726,23.566331835041222,40.593236911868985,51.25581741565712,28.153491993844717,62.54482666919814,60.459045993953595,56.60498440131845,43.908444737692875,25.393999170552643
