,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00,126.43726501120176,69.71304082093728,74.82037534199516,80.40196481548878,56.81636637073205,73.55913616039727,75.39543731910729,73.76105300896594,80.53905544957419,93.00726596882703,85.9248040634049,50.21447826851585,101.38639655237131,80.61054105081399,74.907087615451,79.26002277758579,79.33539414382322,111.18657736455816,111.908811734983,59.63459533984857
Subject01,216.10981465456956,215.16708386929733,249.75972079658257,195.51820288722013,108.82575445194246,96.42517630736026,85.13741163873622,66.49857235284927,116.05442601287332,78.92191338698956,64.21074557018748,40.85885232815373,78.16850574340637,127.43736833138956,143.099852917429,270.92732306397045,436.6027262968306,122.63197006616157,115.13868120561412,47.16500387182651
Subject02,37.816948881766734,83.9204773895652,43.064869683273855,31.167248077485148,27.553067369744152,39.15374943333819,40.98247655825772,33.960828563805876,61.40308494168992,68.7028372058329,29.628956670814926,33.3718840626736,49.57886279475956,58.94297089231175,50.11297311341123,55.18143399401281,49.16751413033802,80.19560787874079,57.32917159492826,19.680903603583495
Subject03,57.38405354598915,24.882671299845427,41.33632465038416,41.98453647581256,37.485273752986764,27.299408355126772,19.55992779207637,35.367046519732,61.213024787202016,110.54545297238592,31.28901163624133,243.6540742516295,142.30856590869448,38.38539203561273,184.26100432957813,131.52222575742724,39.3565919638369,46.44032829213151,128.85128202478703,33.04581092956098
Subject04,105.21424814699034,114.48828887195323,156.96546140588404,153.61128645911248,102.91365709111679,123.23679666053084,80.3148566817459,108.85391195402504,118.28530158908357,189.41116081550172,51.582104713535955,125.75460982748842,450.238724199482,109.95806417787118,94.51783681022945,98.16723846619313,184.24804815756295,144.3011271151235,83.95290959149347,20.201582778589405
Subject05,88.97933140625948,98.53499031424286,85.95557900122873,73.94338309911862,66.66422757728631,33.718777146570126,40.91723736082049,40.49120075296777,56.99752238879515,67.87789498203966,47.07530530103557,38.61336878224622,44.874477012623075,79.20206650021115,40.25501991400561,40.897886500389546,82.50706134268378,73.48535120220554,93.38454669553731,13.837899078326311
Subject06,42.358540255086076,27.747814216488877,27.64267278770108,33.25416118277795,42.936606527954105,23.76490877093242,14.215846152721673,15.178816200430903,26.072051127568898,21.422532577113177,18.045748592105763,29.160363169002675,25.898797684977573,19.291034535049082,20.53494235289709,18.277523923172545,35.154370706665304,31.530367573279566,17.723723673434147,3.5845940982249878
Subject07,101.05617560300183,121.53220943643292,86.21384206884,64.21644683192919,92.16958570315134,40.72820261048463,108.6417273388135,49.83046041512483,160.07187473626857,115.1161243546886,30.930308129413625,35.666044526686534,135.22091437359242,136.74878012671692,132.50790648537156,95.87695464214106,74.23701173312911,123.58954322026567,93.86009762571652,8.581173431249997
Subject08,59.93369684101666,51.554018117084524,58.20706345641327,75.47664353889408,66.34233557467111,33.19447405680735,25.885736276538218,18.8231901084209,38.114659437400995,42.79532936571895,27.430907607010994,87.61288913855061,29.49538636718016,27.02190043180265,44.28510516762297,50.34201276635783,88.9251827155324,64.79972510105164,31.70473274954712,44.08723026657826
Subject09,42.94962909372101,23.42762047580471,87.86794615135553,72.34258704245082,65.80323795418518,133.90997055705958,36.5570253785053,59.47072042294635,72.22265135975518,81.33680620250009,32.47161509251206,31.94623394874702,49.16665410823107,88.42242819183525,46.405604366466875,57.006584579081455,113.30901666518935,101.7485332566616,65.38394135681833,12.970468196684381
Subject10,38.74265112453195,90.94276815062429,64.51204610381458,61.502405710314434,31.144350479807706,34.34877043723327,23.306076764549633,27.852094968710134,43.63702235478885,41.868655497172426,17.824232852059883,32.52526131046107,35.69986583724215,36.3593275079573,27.621198095830632,26.36750599076823,97.2643191312928,51.30724459376635,33.701817750930395,8.165128904034194
Subject11,17.247080876154833,13.410240459475833,29.357792421345128,23.769783807331763,36.183711616412715,17.56440026914721,62.250331411154264,21.58750083200267,17.329484216820187,18.672706400556827,11.445788238317656,34.5388571658882,23.503015462496517,20.8200735178843,22.4617043718316,16.41394767121736,43.59629582650138,21.14655182551182,24.355777513933994,7.843004782359917
Subject12,35.15711383799694,37.46243284168903,67.96570238769908,62.84174374294158,21.50090161894137,41.98306369039086,42.144020435250155,304.79855888250637,61.159500218284435,113.76689773743334,30.059895483343926,51.14333083238496,100.04480724677313,97.23049775935557,60.27959756248366,93.16940655897832,221.77744505711027,91.90131947559124,70.89794217432821,10.793969591885338
Subject13,113.95393797627567,119.53473194403148,110.74386999690257,124.4575061539002,68.39793669047701,99.73967232910248,53.376850285879094,76.13290296786255,64.12199172877145,67.24573119506091,40.46456122152776,50.04811910606383,53.562737771672445,46.67464916412716,108.39771356684051,26.962392327522267,125.98233804532076,75.7250033943609,54.88734915907014,158.04236773485871
Subject14,118.60236401941538,81.78031853652385,179.62534459044335,166.07841628213043,211.1609617707243,92.98641771477618,49.217842718761744,111.78654077149038,78.88999015995171,105.90240741026084,50.138122064140106,34.961090585563866,51.52611990343035,87.79378800985437,32.04130249226594,45.93283062605761,248.03845623834977,91.40785713309874,201.19026113030793,29.916449270392462
Subject15,51.42119809280232,74.82765735905872,111.99204299340994,108.02534905232821,161.47268219111203,42.56270215672246,41.813747881498045,52.80856963249882,117.68322600328247,74.40425111809951,80.14166734967137,53.51362990133248,296.92520821677203,73.8252184996688,133.82064897659617,73.20240816479777,92.79232721223794,91.35381120438589,82.77845030609721,32.1564165061113
Subject16,56.71249524834672,61.387506139270606,72.24329450697462,79.39684868930202,38.19852722141054,59.937425500967336,58.42078244015426,201.3529924053882,70.05376702192373,76.93601104089169,38.51417269283705,26.453199084717124,49.89860790860756,39.31405168619943,56.25000928735383,61.40162191980899,90.88794237126493,91.0459269767441,53.64899704999244,34.92779430571423
Subject17,87.66901674693474,133.60558482422513,74.9866190507308,80.96573310534637,57.91654589534964,80.73678704561681,41.53817876199669,77.64366007264091,102.06525972064006,101.5323515685127,33.626096074117974,507.3186134338547,54.681723843535096,56.57012882013193,58.706407102343086,52.095950265068154,80.97201474858086,124.4571838666825,78.98379196087694,13.794101142385072
Subject18,16.666046551383328,11.74996220084284,29.96654469883126,57.62861120907562,29.128176140370957,32.597628796305266,20.535987024946177,35.86773829839447,85.1714309239532,37.65992265807624,15.534420849251488,21.87307067164441,45.65258427493557,24.230955093357704,271.1611416769157,32.671449208670445,41.11859872721477,53.66079722371427,46.95270260470365,3.6276462627607486
