,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00_1.edf,1.8318753788155047,1.8188580290103586,1.833826633829292,1.827924332376779,1.7452476473099345,1.790755123194196,1.7999713153766428,1.8363184666163104,1.8165787387736647,1.8355353394202187,1.8079605347502212,1.8387593800491084,1.8407656956246543,1.8491359480014633,1.8432467039859115,1.8553621067553288,1.8299954174123951,1.8166339586354885,1.831977616538354,1.82429601525081
Subject01_1.edf,1.8030482255050992,1.8019592895473866,1.7891786142867996,1.7676946203482553,1.7945825401765185,1.7382535404126658,1.8168664554927578,1.7324804119033599,1.7870231195835509,1.778132513441333,1.7619725967512379,1.746155880581525,1.7762303955478318,1.8008952345369962,1.779597233027585,1.8143717153724515,1.7901050847752944,1.7657109298664138,1.7213401180696448,1.7517940695993985
Subject02_1.edf,1.9011759243908595,1.7655426080101488,1.80275835681436,1.7856431674410462,1.867454816019557,1.7786818492864873,1.7916095921065165,1.7590110682423985,1.7640919290010226,1.7663088804956395,1.7962599231799437,1.7220805156335852,1.7786101001319463,1.7669066179713806,1.8225331238189895,1.7889914406077312,1.764612397097418,1.760530441358277,1.7717156989758618,1.8178259164387431
Subject03_1.edf,1.7045147349227392,1.7831361543012487,1.8056845412980929,1.8020550418451557,1.7623319543849647,1.8006104511764165,1.7215724319480246,1.8070475171840918,1.810233933434465,1.8118524251706112,1.818039750227171,1.817948632990854,1.8359970718952636,1.8335397678018108,1.8339737425976461,1.8447326168972236,1.8107027039879529,1.8233581014947429,1.8331394066032802,1.7847773596195757
Subject04_1.edf,1.7174133590493235,1.6421895736985768,1.7255661021363804,1.736203995082375,1.7174999464636214,1.6098306010641652,1.7246587504289626,1.715737843384585,1.7525211236815221,1.7606653031058368,1.7160247367742711,1.673176358385735,1.7617370486835036,1.7681754202925666,1.7851828387775461,1.7307440866035586,1.7438860189687013,1.7484475648721958,1.7660362295862329,1.69052044745699
Subject05_1.edf,1.6214336119035595,1.8303787593515133,1.7443732474504614,1.775150815548236,1.6141148115126915,1.6686510499635534,1.709117238995297,1.7768506038910055,1.7977459388072456,1.8024298136380708,1.820407997361894,1.8202655055724137,1.8244430196970705,1.8385846924349805,1.8529390099400658,1.8558159420901876,1.725098381977626,1.7910645666059226,1.7925503251344217,1.7237974947375392
Subject06_1.edf,1.715940122876317,1.716064854004932,1.695298694791396,1.7605116347960656,1.6578812116885366,1.7414280714390113,1.704742789670243,1.7744060971340683,1.7516784302924273,1.7509912741916986,1.748426400394215,1.7998948224591371,1.7827457529699484,1.7745299413422004,1.814919940717086,1.8019085694877521,1.748532650234192,1.7559772160573095,1.7813610745993118,1.7495041980888106
Subject07_1.edf,1.782856413725414,1.7321837321721174,1.8018468026337502,1.8271098744772827,1.717229862118696,1.749908583481467,1.7855355704612959,1.7754915243085037,1.8056332106684212,1.8094399255813924,1.8166164035806236,1.8006747980792204,1.8025600416323126,1.8054389068613856,1.8091761490029894,1.8183607701421007,1.8014647166415494,1.7911751958099502,1.799039204360691,1.7722404962020788
Subject08_1.edf,1.753876464988872,1.749983459686639,1.819561618448618,1.7645644613610758,1.7876793247104088,1.7416979503941719,1.7697138773619787,1.7884204784200686,1.8051042013481935,1.808242650235644,1.7110688183724865,1.8126201653182616,1.8168808167807113,1.8169616553417782,1.817830847886566,1.805072625408669,1.8191313453761686,1.812424155447097,1.8193674013281722,1.79517999884002
Subject09_1.edf,1.7581331816874453,1.7505068299088737,1.7413861347950124,1.7399576844714977,1.7557912035423422,1.7814117905848061,1.7073681076686416,1.7387671501701736,1.7360777002257253,1.75326712895368,1.7205273726200956,1.795460730849358,1.7631107107693855,1.7725091720724766,1.776460113826131,1.7953329057525578,1.7414299906749373,1.7478397951201328,1.7651392216231836,1.8072221578409455
Subject10_1.edf,1.650307272841444,1.5606145332470294,1.6995286277042312,1.7160462002597416,1.6159707425650356,1.743515532790144,1.718685321252702,1.7287426320474706,1.726372291339526,1.717957205093169,1.7253977856688225,1.782146609407379,1.7413745931137696,1.7384501146722693,1.6990162636771566,1.7214165706074658,1.702463337373918,1.7224680164029142,1.7278049239065143,1.6996109276209068
Subject11_1.edf,1.5933655707213705,1.6459944677223965,1.7422052897420521,1.7309883812875992,1.71350412892776,1.7272347297888997,1.7382716801874445,1.7285328288514843,1.7091794662871886,1.7193622079693565,1.7163893954593639,1.7368488945831753,1.7177237096402207,1.6970492653124456,1.750334800115657,1.7283715734346956,1.7274082318279,1.724918629133742,1.7212094046589825,1.7453618723521938
Subject12_1.edf,1.7356083036859218,1.7315732738639769,1.7564303898035698,1.7998510815939104,1.7361899686040707,1.748534811222134,1.767265021184249,1.81509769764011,1.7765279710300357,1.790160539689325,1.7816667189032596,1.7760760983485024,1.8250743325081416,1.7815887045936383,1.8046918542337818,1.778552569243212,1.7977529807797408,1.7686495701278977,1.7861785769999527,1.8138669230025712
Subject13_1.edf,1.7396725192215112,1.745114882793701,1.7875156583448168,1.7471635982558078,1.6480950432996195,1.6835613210859819,1.6684359924126204,1.677969375329878,1.7352368617949314,1.7340070637311178,1.7649639298163649,1.772809351934325,1.736468020926918,1.7392629790179233,1.742139079672797,1.726738166850191,1.7470159214722212,1.738852206875354,1.737760814849807,1.7259802211063193
Subject14_1.edf,1.663571383635594,1.619163688227095,1.7484770964483116,1.755645224204686,1.6892106506603835,1.662157932744854,1.6962905125348025,1.7338904091321738,1.7410575890476747,1.7463337344910606,1.695766754905468,1.7999068933142996,1.798608843366015,1.7929178715998724,1.8190265127412568,1.8128056720278503,1.7293727847905938,1.7353039498034286,1.8148600082922564,1.7796621841423714
Subject15_1.edf,1.8026321716886464,1.6252626607828935,1.8135095110777133,1.8080856569135926,1.6967064757920305,1.716632411999469,1.8068342546985758,1.7325410295316623,1.8252906218803935,1.7833245665530992,1.7955574550274427,1.8414201492466789,1.85158029074443,1.8468768757735636,1.8488878498837136,1.8552494393379149,1.8131388524332204,1.8331849793912571,1.8433009928499269,1.6985509681417352
