,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject00_2.edf,1.7101080631900276,1.7861968947581481,1.7842087181477642,1.8058472418497953,1.7617859708096995,1.7912116822542956,1.8019669797603615,1.7933404498461933,1.8060896400079829,1.8141505649757717,1.8258003963474314,1.8356807035392557,1.8196131988910744,1.8246572097047051,1.846990285675577,1.8582935886193321,1.80196680003414,1.8001548923953141,1.8085337015012282,1.7980357212429536
Subject01_2.edf,1.6924830898534597,1.7712379745055737,1.7396027563774017,1.7671405189478688,1.6149396079068477,1.5652030821988008,1.7319713406665056,1.6886730043841918,1.753107748954802,1.7457315974671577,1.7270994650224702,1.7746322490438622,1.7054647695877965,1.6531155780479696,1.7179902710082646,1.5990650742159505,1.7471778473319628,1.7513221451194205,1.661989231840199,1.6375360758276598
Subject02_2.edf,1.88869576975983,1.7937922503713901,1.8135749022287446,1.7829868660123902,1.8694210970721512,1.7591129481240932,1.8156960734208465,1.7861983382049489,1.7601092049664644,1.7758552055998416,1.8124848599193488,1.7812695314977138,1.8007915423302483,1.7758482096666581,1.8592967109598386,1.8398032142671612,1.7697211830812563,1.780914225509592,1.7904973612390571,1.7663615832890067
Subject03_2.edf,1.6368094568741403,1.6561056880868117,1.7489862420708129,1.755154558979472,1.7128032122802117,1.7362974264776663,1.6429843764131753,1.728746480829646,1.7533675231471324,1.7627471789299176,1.732793204746409,1.8099526626505842,1.7735628250133093,1.7545711789463687,1.8039552552952622,1.8051304276413478,1.7421905340036943,1.7557861874329617,1.7946919939644361,1.6691095685467632
Subject04_2.edf,1.7946640881132898,1.610278877279721,1.78257016363183,1.7639597930910966,1.7132267674244102,1.648013770551798,1.7846843717633116,1.762267795554446,1.7806902315087307,1.789354685655968,1.7500526394462241,1.7478872532159098,1.8048856326365523,1.7917680208922258,1.7936538152954846,1.797740678720627,1.7765413226620335,1.7781428967718926,1.784048456727346,1.730059899684418
Subject05_2.edf,1.5877757247091986,1.617592283940586,1.735966779998939,1.7598390036595737,1.5841228692983516,1.6964364742256046,1.7162958477119374,1.777832769369927,1.7882970658861357,1.7945694745974203,1.6839238073370193,1.824936032476,1.8123526225100346,1.8333883141190546,1.8525829705143513,1.858312854279097,1.7425149042196926,1.7910261546226482,1.739765582533574,1.7565499033451386
Subject06_2.edf,1.5925335633589592,1.7316498442959116,1.7711383919744765,1.7560002519656424,1.6568043485915878,1.7153559047468898,1.7873537339679126,1.7574864072962224,1.7379866854967743,1.7492866833421212,1.790032773693301,1.741378514922371,1.7627004228053358,1.7642809258203482,1.8304968696594717,1.7875136945830654,1.7464464376635835,1.7394622263762831,1.7874675049717086,1.7927132533935195
Subject07_2.edf,1.6582370311031605,1.6466199209348171,1.7253933987724954,1.736272503414898,1.650293210550549,1.757659864176328,1.7214472847164028,1.796654473986059,1.7132681684302742,1.7656948126757959,1.7991736358724293,1.7677725922826515,1.7400226306081958,1.7612811963954873,1.731009460170907,1.7755965878042663,1.7199949213116092,1.7379197875286885,1.7575712650353497,1.7949172979387715
Subject08_2.edf,1.629769840889578,1.6017627723166183,1.7805953964638757,1.7148105751879876,1.6929066724511377,1.7066816075066125,1.73432537645708,1.7989426068522263,1.7792902467284895,1.792888041590207,1.685462811345808,1.7656173139850817,1.7909613482453348,1.8078839566768221,1.7536600212382034,1.7669622219831511,1.7821984015740306,1.7727575107389353,1.8017066861355677,1.7697421951753787
Subject09_2.edf,1.6465389964237485,1.8152002502753497,1.7219964025790124,1.7447776751454183,1.6912815665589849,1.8053649952384445,1.7074408044281775,1.7527382420205997,1.7293964892339635,1.726867575878482,1.7470887145219953,1.8135879245551205,1.7796440437633676,1.7523949604749054,1.7396296420945154,1.7601030447605375,1.7300414091600893,1.7475979097222945,1.7431060867068893,1.717889039276442
Subject10_2.edf,1.690047192910924,1.6188722916213405,1.7382212283346088,1.747433131250201,1.678344034810216,1.633835507282466,1.7905283898379911,1.7572592946682792,1.7815627996774548,1.7862474462378237,1.7969640514871796,1.830377626870497,1.806703488005498,1.8061867936068157,1.8144688247584595,1.8138711756469243,1.7295266562726537,1.7520883415509634,1.7969031016126573,1.8204539514393576
Subject11_2.edf,1.7289415146466842,1.7584657078947465,1.7609741641227319,1.7276476531867784,1.786391025481097,1.719462373019064,1.795032971306224,1.7053832589496267,1.718671431719452,1.7441820471756517,1.7318727091420136,1.7300683598286495,1.6954816855390726,1.702402352767517,1.7025388596819329,1.6962253340357427,1.7204860704676854,1.7143227690410432,1.6899318636186151,1.8402731628358866
