Patient_ID,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject00_2,0.21753043682367043,0.16357053851361372,0.19250302490629168,0.18812470046062202,0.18735552422917442,0.17649596834553224,0.18596934474256355,0.2024064841585437,0.21740830616561474,0.2051871330364074,0.19391411122995006,0.13282367919181262,0.17630463476755492,0.15748290294362213,0.10301639555182301,0.06690287930693146,0.1898254026873299,0.2599196834429662,0.22218540040747758,0.2719312345203774,0.33910294855247697
Subject01_2,0.5368040976233056,0.48744859151337877,0.48833224558992766,0.44656464021851516,0.49095930327892967,0.4609474194453801,0.3113350473277777,0.2982691777764215,0.3750150169479359,0.33788732234346036,0.34111075103663757,0.18564539233767025,0.32182075676473676,0.25151353398598997,0.24858499909381737,0.3903383026452126,0.5440454956643539,0.37818604400036065,0.27530673195511934,0.3553526731432641,0.3781682132840879
Subject02_2,0.1097174551683499,0.19795588037016779,0.1914725360348874,0.2266414088331484,0.10215644412275833,0.18731347389338784,0.16374309195440329,0.16924842302608362,0.21749201160179732,0.23247279240611382,0.12656905144064753,0.1626070620486113,0.13901096848154995,0.17390058100898567,0.07692198697423495,0.08807951391987005,0.2583779583914473,0.2500868605432623,0.1570494349722309,0.19093995063898822,0.2538992373578456
Subject03_2,0.3666075678291611,0.29871103705296315,0.35600796423970704,0.36784282866692164,0.30579745456523627,0.32769443621323224,0.2993049285377085,0.33477332228174034,0.36550157651051407,0.34673119642784606,0.3370874424313673,0.30419368721992973,0.317475176771516,0.2262582122909841,0.31510816473809883,0.21597282500285908,0.35126936429116223,0.29323740650368607,0.322051795431198,0.2884216028810967,0.31903466399178954
Subject04_2,0.38333983175075964,0.44289163518833,0.4564530424242778,0.4423549908061691,0.4473259916272763,0.434491801192511,0.36738873427030594,0.35532509044341853,0.3054213470201252,0.368767660361904,0.3216160405742302,0.260147708536383,0.3683556297260391,0.256664073162739,0.22933981425853822,0.21400301288268017,0.48153832533584384,0.382493010838204,0.2548140760828715,0.4425664864821077,0.26193068599339336
Subject05_2,0.4415039247767861,0.4318038848849937,0.39541012429988326,0.3532826380095271,0.4466377391157709,0.366012911823698,0.35906140296057665,0.28289910901659654,0.32524133124163274,0.2690990970373242,0.3155695406224111,0.14424792860625754,0.16282714099050677,0.10803134615247469,0.058999959014489754,0.04733478778299522,0.3959827335741551,0.34760370876623153,0.1765428516633675,0.29596864083464924,0.28310506581468353
Subject06_2,0.40738701874409355,0.3489223504373227,0.29626204530318045,0.3806431096602073,0.38501441712653534,0.3722158674816712,0.2793372179614788,0.2687405168171258,0.3475336146477618,0.33198856806296545,0.22580062266562678,0.2560171169599314,0.2940189363832198,0.25689583347175377,0.21391567966296224,0.19756973106770248,0.39678637713971415,0.37591838401971717,0.263160486219755,0.22201121026491574,0.31819765843804365
Subject07_2,0.5590943195652602,0.45383658239784413,0.5197777283157469,0.4565649342713454,0.5696811286822702,0.3455975584039029,0.49387312441485215,0.30181655877683844,0.4987022994316092,0.4070851712766068,0.27792680346203447,0.3034552055953424,0.38793372371793655,0.3267594551382845,0.3885078175339478,0.2786085884822605,0.5246697312927098,0.5066022536044658,0.332330859741475,0.3348689100808381,0.21241111798375714
Subject08_2,0.44894805331974774,0.42435040050352646,0.44672291849348805,0.4253195048434133,0.45312880520331167,0.3871541821201054,0.349849184254251,0.2575556352301457,0.3940195772950988,0.3344170554532565,0.3314525645247378,0.3019637506246999,0.2703974407666077,0.222206034248008,0.22838994590252854,0.20676612971805763,0.46071963894645107,0.42601230769612913,0.25213101942297333,0.31145803177502834,0.36550710960847677
Subject09_2,0.46698426711947977,0.3572314206555988,0.5418685068253941,0.5102478961560154,0.4567712831012211,0.4438873881166758,0.4782120599403029,0.4145497880019916,0.5125175573015959,0.4777535328103558,0.3990682872579641,0.2344390994983452,0.3226785650058385,0.3715928063174117,0.3292238224423479,0.2589196798690376,0.5605377730421801,0.5022827423483246,0.36334778231040343,0.4646812311441396,0.19322620875986676
